,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
496,Charice - Pyramid [featuring Iyaz] (Viral Video),48667425,charice,34396,165681,3228,"['Charice', 'Pyramid', 'Pop']",0,BhT2HhEllpw
499,Miranda Cosgrove - Kissin U,10604547,mirandacosgroveVEVO,11161,82405,2514,"['MirandaCosgroveVEVO', 'acoustic', 'Miranda Cosgrove Kissin U', 'music', 'Kissin U Official Video', 'kissing you', 'instrumental', 'Kissin U Lyrics', 'disgusting', 'vevo', 'Kissin U Live', 'stay my baby', 'Miranda Cosgrove Lyrics', 'official', 'download', 'dancing crazy', 'karaoke', 'remix', 'lyrics', 'audio', 'official video', 'cover', 'Miranda Cosgrove Official', 'Sony', 'Miranda Cosgrove Live', 'music video', 'playlist', 'single', 'album', 'live', 'shakespeare', 'hq', 'Columbia', 'Kissin U', 'Miranda', 'Pop']",0,nhT_6Yz-Nbc
500,Emily Osment - Let's Be Friends,9377637,EmilyOsmentVEVO,6983,88176,1876,"['Emily', 'Osment', ""Let's"", 'Be', 'Friends', 'Wind-Up', 'Pop']",0,ZlGJ-_S2qsI
61,Unusual shot by Alex Hurricane Higgins to beat Steve Davis - Snooker,1559275,Classic Snooker DVD's,765,1687,543,"['Alex', 'Hurricane', 'Higgins', 'Steve', 'Davis', 'snooker', '147', ""80's""]",0,Xo0RYMP8F7k
5,Alex 'Hurricane' Higgins: latest interview 2010,375408,The Telegraph,687,1065,42,"['Alex', 'hurricane', 'higgins', 'video', 'interview', 'snooker', 'billiards', 'pool', 'cancer', 'david', 'ferrarotto', 'jim', 'white', 'smoking', 'ireland', 'irish', 'sport']",0,R6wLagsmuaM
502,Puya - Americandrim (feat. Connect-R) | Videoclip Oficial,295558,Puya Oficial,155,1845,52,"['puya', 'feat', 'connect-r', 'americandrim', 'american dream', 'videoclip', 'oficial', 'official video', 'piesa', 'muzica', 'romaneasca', 'hip hop', 'rap', 'romanesc', 'rapper', 'la familia', 'rap romanesc', 'undeva in balcani', 'romanisme', 'puya george hora', 'puya connect-r', 'sisu puya', 'hip hop romanesc', 'vorbe', 'tupeu de borfas', 'muzica rap', 'muzica hip hop', 'puya doddy', 'puya vescan', 'puya official', 'puyaofficial', '2011']",0,2uC171f46Cg
1,Amazing Shots by Alex Hurricane Higgins - Best Snooker,275590,Classic Snooker DVD's,90,605,21,"['Alex', 'Hurricane', 'Higgins', 'snooker', ""80's"", 'Steve', 'Davis']",0,z35TwQPfUGk
8,Alex Megane - Hurricane (Cascada Radio Edit),260670,Natty,55,556,34,"['Cascada', 'Hurricane']",0,4d-qoVABpKc
438,Texas Task Force 1 South Texas Horse Rescue,148510,Texas A&M Engineering Extension Service (TEEX),34,587,19,"['Painted Horses', 'Horse Rescue', 'Texas Task Force 1', 'Flooding', 'Urban Search and Rescue', 'Texas', 'Engineering', 'Extension', 'Service', 'TEEX']",0,gKScZwtnjk8
12,Video of severe flood in Monterrey as Hurricane Alex hits Mexico,134851,RT,93,55,3,"['RT', 'Hurricane Alex video', 'Huracan Alex en Monterrey', 'Rio Santa Catarina', 'tropical storm destruction', 'huracan alex', 'Storm Gulf', 'BP oill spill cleanup', 'Gulf of Mexico', 'Tropical storm Alex news', 'Hurricane Alex latest', 'US border storm', 'Alex Hurricane', 'Hurricane Alex landfall', 'flood destruction video', 'damaged', 'natural disaster', 'Storm US Texas Mexico', 'storm warning', 'wind', 'weather report', 'coastal']",0,m835Off4XuM
376,Oliver Reed talking about Alex Hurricane Higgins,104230,martin goodman,59,154,8,"['drunk', 'funny', 'snooker', 'alex higgins', 'hurricane', 'oliver', 'reed']",0,-mioAjEbdeg
303,Huracan Alex en Monterrey México. (Rio Santa Catarina),89839,Abraham Velez,72,88,4,"['huracan', 'alex', 'monterrey', 'mexico', 'rio', 'santa', 'catarina', 'desastres', 'tormenta', 'hurricane', 'storm', 'disaster', 'lluvia', 'inundacion', 'rain']",0,apf9QHl30Xc
417,Huracan Alex en Monterrey (Rio Santa Catarina a 150 metros de altura),80613,gromayv,71,73,4,"['Huracan', 'Alex', 'Monterrey', 'puente', 'atirantado', 'punta', 'marea', 'corriente', 'rio', 'santa', 'catarina', 'julio', '2010', 'miravalle', 'barbara', 'vado', 'hurricane', 'lowpass', 'bridge', 'disaster', 'heavy', 'rain', 'river']",0,m8cpP62PyhM
0,HURRICANE ALEX IN MONTERREY - HURACAN ALEX EN MONTERREY,69247,Tita Guajardo,70,72,12,"['HURRICANE', 'ALEX', 'IN', 'MONTERREY', 'MEXICO', 'HURACAN', 'huracan', 'alex', 'monterey', 'Hurricane', 'Alex', 'Rain', 'Storm', 'Monterrey', 'rio', 'santa', 'catarina', 'gilberto', 'virgen', 'de', 'guadalupe', 'el', 'norte', 'multimedios', 'las', 'noticias', 'noticieros', 'hechos', 'tv', 'azteca', 'constitucion', 'deslaves', 'carros', 'sepultados', 'cumbres', 'san', 'pedro', 'ustream', 'live', 'en', 'vivo', 'morones', 'prieto', 'lazaro', 'cardenas', 'nicolas', 'garza', 'sada', 'paseo', 'los', 'leones', 'gonzalitos', 'feliz', 'gomez', 'apodaca', 'montemorelos', 'linares', 'tormenta', 'daños', 'tampico', 'mexico', 'veracruz', 'hotel', 'turismo']",0,Y6i81n9s9QQ
506,Dizzy Wright A Day In LA,67764,Dizzy Wright,56,489,6,"['DIZZY', 'WRIGHT', 'LAS', 'VEGAS', 'TO', 'LOS', 'ANGELES', 'Omnia', 'OmniaMedia']",0,gwhWr3zCMgU
504,Puya - Vestul Salbatic | Videoclip Oficial HD,46249,Puya Oficial,17,460,28,"['puya', 'vestul salbatic', 'hd', 'videoclip', 'oficial', 'official video', 'piesa', 'muzica', 'romaneasca', 'hip hop', 'rap', 'romanesc', 'rapper', 'la familia', 'rap romanesc', 'undeva in balcani', 'romanisme', 'americandrim', 'puya george hora', 'puya connect-r', 'sisu puya', 'hip hop romanesc', 'vorbe', 'tupeu de borfas', 'muzica rap', 'muzica hip hop', '2011', 'puya doddy', 'puya vescan', 'puya official', 'puyaofficial']",0,h5evYKgffMM
2,Hurricane Alex Destroys Monterrey.flv,44979,greggcd,29,45,5,['fail'],0,CQuR7x46F9k
272,"HURACAN ALEX EN MONTERREY, MEXICO. JULIO 1 DEL 2010",34735,rolagzz20,11,5,1,"['HURACAN ALEX', 'HURRICANE ALEX']",0,smSSA89VGHo
93,Alex Megane - Hurricane,25413,Laschwappen,12,94,5,"['will', 'keine', 'nennen', '^^', ':)']",0,Bn9QKTrv-f0
140,ALEX HIGGINS THEY CALL HIM THE HURRICANE RIGHTLY SO,25196,belfast jack,17,36,3,"['alex higgins', 'Belfast (City/Town/Village)', 'Snooker (Sport)', ""Jimmy White's 2: Cueball (Video Game)"", 'Video Game (Industry)', 'Alex', 'higgi']",0,rNTybZVOgmo
22,"Storm in the Gulf: Hurricane Alex aims at Texas, Mexico",25061,RT,67,29,3,"['huracan alex', 'RT', 'Storm Gulf', 'BP oill spill cleanup', 'Gulf of Mexico', 'Tropical storm Alex news', 'Hurricane Alex latest', 'US border storm', 'Alex Hurricane', 'Hurricane Alex landfall', 'flood destruction video', 'damaged', 'natural disaster', 'Storm US Texas Mexico', 'storm warning', 'wind', 'weather report', 'coastal']",0,IEtGZjjYdfU
9,"Video of hurricane Alex raging across Texas, Mexico coasts",23896,RT,20,33,3,"['huracan alex', 'RT', 'Storm Gulf', 'BP oill spill cleanup', 'Gulf of Mexico', 'Tropical storm Alex news', 'Hurricane Alex latest', 'US border storm', 'Alex Hurricane', 'Hurricane Alex landfall', 'flood destruction video', 'damaged', 'natural disaster', 'Storm US Texas Mexico', 'storm warning', 'wind', 'weather report', 'coastal']",0,pOhqzxLrS0g
224,Hurricane Alex Monterrey Mexico,19355,rockkrawler88,1,2,0,['MOV00C'],0,zHlnVrCDEJQ
253,Hurricane Alex,16149,ferch0tube,6,8,0,"['Huracán', 'huracan alex', 'alex', 'hurricane', 'satellite', 'storm', 'lluvia', 'nuevo león', 'monterrey', 'States', 'spring', 'texas', 'megan fox', 'you tube', 'wikipedia', 'iphone', 'apple', 'ipod', 'touch', 'screen', 'steve', 'bill', 'pay', 'best', 'incredible', 'buy', 'amazing', 'yt3d:enable=true', 'yt3d:aspect=16:9']",0,nAWreQ6swBc
498,Ayudemos a las victimas del huracan Alex,14251,SyntekOficial,88,134,62,"['Aleks Syntek Mauricio Garces Organo Melodico Juan Torres', 'aleks syntek corazones invencibles', 'aleks syntek loca', 'Sony Music Entertainment (Organization)', 'aleks syntek intocable', 'aleks syntek la tormenta', 'aleks syntek volverte a ver', 'aleks syntek sexto pudor y lagrimas', 'syntek', 'Aleks Syntek (Musical Artist)', 'ITunes (Software)', 'Google Play (API Provider)', 'Ideasmusik', 'Spotify (Software)', 'Music Unlimited (Website)', 'Deezer (Website)', 'Rdio (Website)']",0,mviV2JBs9nE
408,Huracan Alex- Parte calle en San Jerónimo  Monterrey Mexico Flood Hurricane,14105,DIEGO AAH,11,2,3,"['huracan', 'monterrey', 'huracan alex', 'colinas', 'san jemo', 'calle', 'carros', 'hurricane']",0,lGbsLytttW4
363,JOMMAC ALEX HIGGINS TRIBUTE SONG,13647,Jommac Music,18,101,0,"['Alex Higgins', 'The Hurricane', 'Simply The Best', 'The Crucible Theatre Sheffield', 'Jimmy White', 'Steve davis', 'East Belfast', 'Sandy Row', 'Higgy', '147', 'Uk Snooker Championship', '1972', '1982', 'Belfast', 'Dennis Taylor']",0,Q_VCsaxyKa4
333,Hurricane Alex monterrey Mexico II,12670,rockkrawler88,2,2,0,['MOV003'],0,jG9brmXWVw8
29,HURRICANE ALEX 2010,11607,martin6997,1,2,0,"['HURRICANE', 'ALEX', '2010', 'TEXAS', 'BROWNSVILLE', 'HARLINGEN', 'DALLAS', 'HOUSTON', 'USA', 'MATAMOROS', 'MONTERREY']",0,fu0sK7uCLnw
508,C.C. Catch - Heaven and Hell.(Diskotheka 80).flv,11342,OfficialCCCatchtube,8,33,1,"['cccatch', 'modern talking', 'badboysblue']",0,T_lbeUAPCok
15,F150 mudding after hurricane alex,10681,Andrew Nelson,7,9,3,"['F150', '4x4', 'mudding']",0,0-jZgvMLZrw
291,Huracan Alex - Hurricane Alex - Villa de las Fuentes Parte 5,9855,Erick Garza,1,3,0,"['villa', 'de', 'las', 'fuentes', 'inundacion', 'desastre', 'huracan', 'alex', 'monterrey', 'julio', '2010']",0,j-LC9NiW-0k
401,Hurricane by Alex Lambert. New song 2011 Full with Lyrics,9774,Green0Day0is0Love,7,86,1,"['alex lambert', 'hurricane']",0,GCa7BzxGHWc
369,"Hurricane Alex - Cat 2 June, 30th 2010 Compilation",9464,Ctweatherchases,10,11,2,"['Hurricane', 'Alex', 'June', '30th', '2010', 'pm', 'CDT', 'Tropical', 'storm', 'tropical', 'depression', 'category', 'cat', 'pressure', 'mb', 'millibars', '947', 'Brownsville', 'Texas', 'Corpus', 'Christy', 'Mexico', 'South', 'Padre', 'Island', 'Intense', 'wind', 'strong', 'rain', 'extreme', 'flooding', 'oil', 'gulf', 'of', 'mexico', 'Yucatan', 'peninsula', 'la', 'cruzes', 'Montgomery', 'raw', 'footage', 'cruz']",0,6kZ-S4yoHLM
31,Hurricane Alex 2010 Corpus Christi Texas,9447,hypaspazz,6,12,2,"['Hurricane', 'Alex', '2010', 'Corpus', 'Texas']",0,02uhdwIwyX0
501,run this town //  new nikita cast,9319,MariaPurtMe,13,154,0,"['run', 'this', 'town', 'new', 'nikita', 'cast', 'alex', 'maggie', 'melinda', 'clarke']",0,7RvIMT3HhQ4
16,Daltile Hurricane Alex Video,9141,Daltile,3,8,0,"['Dal-Tile', 'hurricane', 'alex', 'flood', 'porcelain', 'ceramic', 'tile', 'Daltile', 'Monterrey', 'Mexico', 'Daltile Plants', 'Hurricane Alex', 'Manufacturing Plants', 'Monterrey Mexico', 'Design with Confidence']",0,9IgJCaJztpk
19,Hurricane Alex Rumbles Toward Texas' Coast,9132,Associated Press,0,9,1,"['hurricane-alex', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,XlwzwDBFbQQ
106,Alex Hits Mexico's Gulf Coast As Cat 2 Hurricane,8717,Associated Press,0,16,1,"['hurricane-alex', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,5eqtCVWB_1U
166,Hurricane Alex video 3.AVI,8640,Debbi Culp Hook,0,0,2,"['2010', 'Hurricane', 'Alex', 'storm', 'surge', 'Laguna', 'Vista', 'Madre', 'TX', 'Hook']",0,-TOWyAwMrvA
228,"Monterrey, Mexico, after Hurricane ""Alex""",8412,claupretty13,2,0,2,"['Hurricane', 'Alex', 'Monterrey', 'Mexico', 'damages', 'Rio', 'Santa', 'Catarina']",0,8q_YqTF5VaU
182,Hurricane Alex disaster in Monterrey,8156,Adrian Almaguer,5,3,0,"['huracan', 'alex', 'monterrey', 'nuevo', 'leon', 'desastre', 'lluvia']",0,os7EooJ-NFo
27,"Hurricane Alex - South Padre Island, Texas - June 30, 2010",7198,visitsouthpadre,5,9,1,"['Hurricane Alex', 'Hurricane Alec', 'South Padre Island', 'TX', 'Brownsville', 'Texas', 'Tropical Storm Alex', 'Mike Harrison', 'VideoByMike.com', 'SPI Flix', 'Coral Reef Bar', 'Island Market', 'Blue Marlin Closed']",0,MxWcth50d_Y
77,"Brownsville, Texas Tornado, June 30th 2010 during Hurricane Alex",7172,Luis Olivarez,10,16,0,"['Brownsville', 'Texas Tornado', 'June 30th 2010 during Hurricane Alex']",0,BgvOXCyAky8
411,Alex O'loughlin et Tom Beck - Hurricane.wmv,6676,cobra11dassuper,2,15,0,"[""Alex O'loughlin"", 'Tom Beck', 'Steve McGarrett', 'Ben Jäger', 'Hawaii 5-0', 'Alerte Cobra']",0,NBNyWlvg4og
170,Hurricane Alex coverage 1,6434,TheMybeloved7,0,1,3,['mobile'],0,ZiNEKhUqYf8
24,Hurricane Alex Monterrey Mexico IV,6190,rockkrawler88,3,1,0,['MOV010'],0,guWs1PQMnos
292,"Hurricane ALEX - Brownsville, Texas (KBRO) Radar Loop - June 30 - July 1, 2010",6068,Tropmet | Storm Chasing,20,25,3,"['Hurricane', 'Alex', 'Landfall', 'Brownsville', 'Texas', 'KBRO', 'Radar', 'Doppler', 'NEXRAD', 'Base', 'Reflectivity', 'Loop', 'Scan', 'Slice', 'Lowest', 'Tilt', 'DBZ', 'GR', 'GRLevelX', 'GRLevel2', 'GR2AE', 'GR2Analyst', 'Analyst', 'Volumized', '3D', 'Data', 'Tropical', 'Cyclone', 'Structure', 'Organization', 'Rainband', 'Rainbands', 'Double', 'Eye', 'Eyewall', 'Moat', 'Hub', 'Cloud', 'High', 'Heavy', 'Rain', 'Rainfall', 'Northeast', 'Mexico', 'Soto', 'La', 'Marina', 'Campo', 'Pesquero', 'Enramadas', 'Tamaulipas', 'Category', 'Two', 'Three', 'June', '2010', 'Disaster', 'HD', 'Definition', '1080i', '1080p', 'Michael', 'Laca', 'Storm', 'Chase', 'Chaser', 'Chasing']",0,Q31Tn54P6qs
20,Huracán Alex  - Hurricane Alex,5913,myrmardan,0,0,0,"['huracán', 'hurricane', 'orage']",0,CUuxRXpENCU
511,The Jones Brothers   Without Your Love,5901,Soulhawk,3,33,0,"['The', 'Jones', 'Brothers', 'Without', 'Your', 'Love']",0,YTdpzuMZsOA
26,Huracán Alex    Hurricane Alex,5473,myrmardan,0,0,0,"['hyracán', 'hurricane', 'orage']",0,3CBVqWPnhMo
265,Flooding caused by Hurricane Alex in Monterrey Mexico,5245,castlekingside28,0,1,1,['MOV05107'],0,9zC4t_wgNio
3,"Hurricane ALEX in Guadalupe Victoria, Mexico (2010)",5204,iCyclone,7,37,3,"['hurricane', 'alex', 'Alex', 'Guadalupe', 'Victoria', 'Tamaulipas', 'Mexico', '2010', 'chase', 'chaser', 'chasing', 'iCyclone', 'icyclone', 'weather', 'storm', 'huracán', 'hurricane alex', 'hurricane alex chase', 'hurricane chase', 'hurricane chaser', 'hurricane chasing', 'huracán alex']",0,lY54Waq4Ixc
28,Hurricane Alex - TWC Coverage - 6/26/10 (1),5018,brenttwcfan93,1,13,0,"['hurricane', 'alex', 'coverage', 'the', 'weather', 'channel', 'season', '2010', 'twc', 'kim', 'perez', 'cunningham']",0,K3DLkXLRjxU
402,Raw Video: 6 Dead in Mexico Post-Alex Floods,4916,Associated Press,0,6,1,"['Mexico', 'Floods', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,aYQpt-v6__k
7,Hurricane Alex Touches Down,4867,ABC News,1,2,1,"['ABC', 'ABCNews', 'News', 'gulf of Mexico', 'oil spill', 'Texas border', 'category 2', 'storm', 'san padre island', 'severe weather', 'coastline', 'threat', 'Ryan Owens', 'Nightline', 'US', 'abc', 'abc news', 'news']",0,zY5Zu-ZB3pA
262,Hurricane Alex - TWC Coverage - 6/28/10 (4),4854,brenttwcfan93,3,5,1,"['hurricane', 'alex', 'coverage', 'the', 'weather', 'channel', 'season', '2010', 'twc', 'wake', 'up', 'with', 'al', 'roker', 'stephanie', 'abrams', 'rick', 'knabb']",0,REUp8BR8e8g
329,Hurricane Alex Beer BIAB Thermometer Showdown Iodine & Starsan Tests Pre-Chiller,4778,steeljan,37,16,0,"['homebrew', 'home', 'brew', 'beer', 'in', 'bag', 'biab', 'bib', 'banks', ""bank's"", ""banks's"", 'mild', 'ale', 'hurricane', 'alex', 'rain', 'water', 'all', 'grain', 'all-grain', 'tsa', 'take', 'some', 'advice', 'thermometer', 'bobbyfmnj', 'showdown', 'cdn', 'dtq450x', 'blichmann', 'brewmometer', 'unmalted', 'flaked', 'barley', 'iodine', 'testing', 'test', 'iodophor', 'jaygnar', 'mattsarg', 'starsan', 'cloudy', 'pre-chiller', 'wort', 'chiller', 'howto', 'how-to', 'diy', 'educational', 'tips & tricks', 'instruction', 'yt:stretch=16:9', 'tutorial', 'crafts', 'vlog', 'arts']",0,A2Tbhg8hHHw
497,Illuminated // new Nikita (Alex character study),4690,MariaPurtMe,6,87,1,"['illuminated', 'nikita', 'maggie', 'Lyndsy', 'Fonseca', 'Alex', 'Shane', 'West', 'Michael', 'Melinda', 'Clarke', 'Amanda']",0,yl8zEhkL33M
201,"Hurricane Alex - At the Main street of Matamoros, Tamps MX",4578,Dark_Metal_Umbreon,2,2,0,"['Hurricane Alex', 'Huracan Alex.']",0,9A9OLgnS7X0
47,Hurricane Alex Monterrey Mexico III,4300,rockkrawler88,0,1,1,['MOV019'],0,VYS5FLcqTrY
46,2010 Hurricane Alex video of dock damage and storm surge.AVI,4242,Debbi Culp Hook,0,0,0,"['Laguna', 'Vista', 'Hurricane', 'Alex', 'storm', 'surge', 'June', '2010', 'Hook']",0,5hLrOPQnqxA
220,"Alex 'Hurricane' Higgins - A Song For You ""One Four Seven""",4023,wsc147,2,15,1,"['Alex', ""'Hurricane'"", 'Higgins', '147']",0,kHLJyYEgAA4
403,Snooker Star Alex Hurricane Higgins Dies,3958,sportfeast,2,4,0,"['Snooker', 'Star', 'Alex', 'Hurricane', 'Higgins', 'Dies', 'world', 'snooker', 'champion', 'cancer']",0,V_VsHpML2Hk
341,CATEGORY 2 HURRICANE ALEX HITS SOUTH TEXAS WITH HEAVY RAIN AND TORNADOES,3782,TheJammaNetwork,3,2,8,"['CATEGORY', 'HURRICANE', 'ALEX', 'HITS', 'SOUTH', 'TEXAS', 'WITH', 'HEAVY', 'RAIN', 'AND', 'TORNADOES']",0,W5YsSeaOIpk
450,Houston Metro Trains Passing in Flood from Alex,3674,Jim McKenna,1,5,0,"['Houston Metro Trains', 'trains', 'light rail', 'flooding', 'high water', 'severe weather', 'Hurricane Alex']",0,ekaqYZVsUBA
339,CATEGORY 2 HURRICANE ALEX HITS  SOUTH TEXAS WITH HEAVY RAIN AND TORNADOES,3473,TheJammaNetwork,5,2,12,"['CATEGORY', 'HURRICANE', 'ALEX', 'HITS', 'SOUTH', 'TEXAS', 'WITH', 'HEAVY', 'RAIN', 'AND', 'TORNADOES']",0,mqyYERQ1QY8
117,Tropical Storm/ Hurricane Alex video update #1,3405,sgtromo92,0,3,3,"['Tropical', 'Storm', 'Hurricane', 'Alex', 'South', 'Texas']",0,bzM_DTvocRQ
125,News Update: World's Largest Skimming Vessel Arrives in Gulf While Hurricane Alex Looms Closer (BP),3313,TradeTheTrend,5,8,1,"['bp', 'gulf', 'of', 'mexico', 'taiwanese', 'tmt', 'coast', 'guard', 'maisano', 'cnn', 'hurrican', 'alex', 'stock', 'market', 'news', 'smartrend']",0,5m_seN5SrBA
82,"Hurricane Alex Threatens Mexico, Texas Coasts",3279,Associated Press,0,8,1,"['hurricane-alex', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,UQJP_LwhYWw
14,South Padre Island Braces For Hurricane Alex,3210,Michael McIntee,4,9,0,"['hurricane alex', 'south padre island', 'texas', 'tx', 'alex', 'coast guard']",0,COwvk-VuWgE
167,"Hurricane Alex - Strong Wind and Strong Rain - Matamoros, Tamps MX",3050,Dark_Metal_Umbreon,0,3,0,"['Hurricane Alex', 'Huracan Alex']",0,qwHJmmzohIM
50,Surfers tame Hurricane Alex's tidal surge in Galveston,3047,Galveston County Daily News,2,3,2,"['Hurricane', 'Alex', 'Galveston', 'surf', 'surfers', 'boards', 'storm', 'surge', 'seawall', 'Texas', 'tide', 'tidal', 'waves']",0,diHCS1I7mLc
122,Hurricane Alex,3020,srferdude,0,8,0,"['Surfing', 'Fort Walton Beach', 'Florida']",0,UHg9kZir2r8
503,Almah fala sobre novo videoclipe,2853,AlmahChannel,7,46,0,"['almah', 'video', 'clip', 'making', 'of', 'alex', 'milesi', 'edu', 'falaschi', 'marcelo', 'barbosa', 'felipe', 'andreoli', 'moreira']",0,e_CYYifc4W4
90,Hurricane Alex - TWC Coverage - 6/28/10 (6),2726,brenttwcfan93,1,3,0,"['huricane', 'alex', 'coverage', 'the', 'weather', 'channel', 'hurricane', 'season', '2010', 'twc', 'nick', 'walker', 'vivian', 'brown', 'jim', 'cantore']",0,Q6oDK50d_IQ
418,scary ride on  ferry from playa del carmen to cozumel  after hurricane Alex,2662,Autisticglobetrotting,1,2,4,"['playa del carmen', 'hurricane Alex', 'cozumel', 'ferry ride', 'Carnival Legend', 'autism', 'travel', 'autisticglobetrotting', 'mexico', 'cruise']",0,0VZ_UyFn1_Q
340,Hurricane Alex - TWC Coverage - 6/30/10 (22),2638,brenttwcfan93,0,4,0,"['hurricane', 'alex', 'coverage', 'the', 'weather', 'channel', 'season', '2010', 'twc', 'alexandra', 'steele', 'chris', 'warren', 'jim', 'cantore', 'rick', 'knabb', 'mike', 'seidel']",0,osyRRN-BGr4
17,Complete Lifecycle of Hurricane Alex (2010),2612,djxatlanta,1,4,0,"['Hurricane Alex', 'weather satellite', 'GOES-13']",0,nTCHyDcvPDA
406,Pre-Hurricane Overflight,2520,dvidshub,2,6,0,"['dvids', 'dvidshub', 'hurricane', 'alex', 'corpus christi', 'texas', 'south padre', 'coast guard', 'military', 'flight']",0,12ZEeFiHUZI
338,Hurricane Alex - TWC Coverage - 6/30/10 (15),2505,brenttwcfan93,0,7,0,"['hurricane', 'alex', 'coverage', 'the', 'weather', 'channel', 'season', '2010', 'twc', 'betty', 'davis', 'nick', 'walker', 'stephanie', 'abrams', 'mike', 'bettes']",0,If5Hr8L78Cw
67,Hurricane Alex  Monterrey Mexico Highway Bridge,2342,fabpell1971,0,0,0,"['IMG', '0372']",0,xlCVKu1rynU
171,Hurricane Alex - TWC Coverage - 6/29/10 (10),2333,brenttwcfan93,4,3,1,"['hurricane', 'alex', 'coverage', 'the', 'weather', 'channel', 'season', '2010', 'twc', 'nick', 'walker', 'vivan', 'brown', 'mike', 'seidel']",0,3Km0GIlq1oc
37,"Hurricane Alex -- Driving on 107 in Edinburg, TX",2305,syobwoc,2,4,1,"['hurricane', 'alex']",0,v7kWm8u1vsc
