,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,"Extreme Video of Hurricane Dolly from Port Mansfield, Texas!",45204,Reed Timmer,48,91,8,"['hurricane', 'dolly', 'South', 'Padre', 'Island', 'Texas', 'Port', 'Mansfield', 'July', '23', '2008', 'video', 'footage']",0,y_cKlqxbnAU
1,HURRICANE DOLLY WATCH THIS!!!,23030,ImTecho,6,17,10,"['HURRICANE', 'DOLLY', 'STORMS', 'VALLEY', 'EDINBURG', 'PHARR', 'MCALLEN', 'BROWNSVILLE', 'HARLINGEN', 'TX', 'TORNADO']",0,Ex9eFxSXDFA
2,"Hurricane Dolly hits Harlingen, TX",21538,dmise,54,57,10,"['hurricane', 'dolly', 'harlingen', 'texas', 'tx', 'home', 'depot']",0,g-rTl0YVXo4
3,"Hurricane Dolly hits Harlingen, TX (the madness!)",20586,dmise,22,32,3,"['hurricane', 'dolly', 'harlingen', 'tx', 'texas', 'damage', 'high', 'winds', 'flooding', 'heavy', 'rain']",0,fHW-xcGM_ho
4,"Storm Surge from Hurricane Dolly slams the coast of South Padre Island, Tx",20445,TheJammaNetwork,15,15,11,"['Weather', 'awesome', 'water', 'storm', 'hurricane', 'texas', 'dolly', 'beach', 'beautiful', 'nature', 'ocean', 'news', 'jamma', 'jen', 'south', 'padre', 'island', 'kgbt4', 'harlingen', 'wild', 'surge']",0,PH_mV2cdM3I
5,"Hurricane DOLLY in Port Isabel, TX (2008)",19087,iCyclone,21,76,1,"['hurricane', 'dolly', 'Dolly', 'Port', 'Isabel', 'Texas', '2008', 'chase', 'chaser', 'chasing', 'iCyclone', 'icyclone', 'weather', 'storm', 'footage', 'USA', 'hurricane dolly', 'hurricane dolly chase', 'hurricane chase', 'hurricane chaser', 'hurricane chasing']",0,Hmb8VyC4FNg
6,U.S. Could Say Hello to a Hurricane Dolly,15754,Associated Press,0,16,0,"['tropical', 'weather', 'u.s.', 'hurricane', 'dolly', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,fNXl4ZFXXX0
7,Hurricane Dolly -vs- State Flag,15595,redsiren2000,5,11,1,"['Texas', 'Flag', 'Hurricane', 'Dolly', 'storm', 'wind']",0,szDM3Huv4DQ
8,Hurricane Dolly arrival on South Padre Island,15309,spislandbreeze,28,17,4,"['South', 'Padre', 'Island', 'Hurricane', 'Dolly', 'July', '22', 'hurricane', 'gulf', 'of', 'mexico', 'dolly', 'surfers', 'shrimp', 'boats', 'evacuation']",0,jGzYYXJLfZo
9,Texas Readies for a Hurricane Dolly,15196,Associated Press,0,21,1,"['texas', 'dolly', 'readies', 'hurricane', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,kNK7tt-B63o
10,"Hurricane Dolly, South Padre Island",15153,jdiva478,7,19,1,"['hurricane', 'dolly', 'natural', 'disaster', 'beach', 'weather', 'south', 'padre', 'island']",0,F7nhgUvPO1c
11,2008 Atlantic Hurricane Season Animation,14119,Force Thirteen,30,55,2,"['2008', 'Atlantic', 'Hurricane', 'Season', 'Animation', 'Storm', 'Thunder', 'Lightning', 'Rain', 'Tornado', 'Weather', 'Disaster', 'Flood', 'Wind', 'Hurricane Gustav', 'Hurricane Ike']",0,cVaMXkBtVAU
12,"Incredible Hurricane Dolly Video July 23, 2008 South Padre Island, Texas",13707,Stormgasm,5,33,5,"['Hurricane Dolly July 23', '2008 South Padre Island', 'TX Stormgasm.com']",0,zO-ZvuIIP9w
13,"Raw Video: Dolly Visits Brownsville, Texas",13316,Associated Press,0,13,2,"['dolly', 'brownsville', 'raw', 'video:', 'texas', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,kRbxs3tb-XY
14,Marcy Martinez Reports from Port Isabel During Hurricane Dolly,12852,CBS 4 News Rio Grande Valley,0,11,1,"['hurricane', 'dolly', 'action', 'news', 'marcy', 'weather', 'texas', 'storm']",0,lAve5PBDehQ
15,Hurricane Dolly,12767,Riven5384,22,30,1,"['hurricane', 'dolly']",0,SDg9mEpJG5I
16,Eye wall of Hurricane Dolly,12697,bbvsharp,15,32,1,"['storm', 'hurricane', 'weather', 'severe', 'wind', 'rain', 'tropical', 'cloud', 'cyclone']",0,MfaQLh1bXy8
17,Look Live during Hurricane Dolly,11240,BrandonAGarcia,0,10,1,"['rgv', 'hurricane dolly', 'port isabel', 'cat 2', 'rio grande valley', 'kgbt', 'dolly', 'rain', 'cameron country', 'live report', 'strong winds']",0,XuEaiFKpBB0
18,Hurricane Dolly hits South Padre Island,10603,stephmtz13,11,24,3,"['hurricane', 'dolly', 'south', 'padre', 'island', 'texas', 'category', 'weather', 'beach', 'bay', 'wind', 'rain', 'spi']",0,On3kGDaV8aA
19,Hurricane Dolly (part 2),9914,jdiva478,2,8,0,"['hurricane', 'Dolly', 'weather', 'news', 'natural', 'disaster', 'flooding', 'beach', 'island', 'south', 'padre']",0,bmrOFxk6DJU
20,Hurricane Dolly Going To Swing Into Texas!!,8914,Paul Begley,50,145,7,"['News', 'Hurricane Dolly (Tropical Cyclone)', 'Texas (US State)', 'Tropical Cyclone (Disaster Type)', 'Weather Forecasting (Software Genre)', 'United States Of America (Country)', 'Lightning', 'Thunder', 'Storm', 'Rain', 'floods', 'paul begley', 'bible prophecy', 'Jesus saves', 'apocalypse', 'Flood (Disaster Type)']",0,EQGPE53Imyc
