,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,"Emily & Hunter ""Hurricane"" Duet - The Next Step Extended Dances",1497848,THE NEXT STEP,387,7376,202,"['dance', 'duet dance', 'the next step', 'hunter and emily', 'dance duets', 'emily and hunter', 'season 2 episode 7', 'extended dance', 'aftershow', 'the next step dances', 'the next step duet', 'huntmily', 'next step', 'the next step emily', 'the next step hurricane', 'the next step duets', 'the next step hunter', 'dance duet', 'alexandra beaton', 'zac vran', 'It Takes Two']",0,m0H7iWAZ53g
1,2005 Atlantic Hurricane Season Animation (Version 3),68834,Force Thirteen,232,264,10,"['2005', 'Atlantic', 'Hurricane', 'Season', 'Hurricane Dennis', 'Hurricane Katrina', 'Hurricane Emily', 'Hurricane Wilma', 'Hurricane Rita', 'Animation', 'Storm', 'Thunder', 'Lightning', 'Rain', 'Tornado', 'Weather', 'Disaster', 'Flood', 'Wind', 'Record']",0,APqqJNUwvE8
2,Grace Jones & Tricky -  Hurricane (DJ Emily Remix),61353,concretecorner,35,413,9,"['Grace', 'Jones', 'Tricky', 'Cradle', 'To', 'Grave', '(Danny', 'Tenaglia', 'White', 'Label', 'Mix)']",0,7p4-jp5GxO4
3,Tropical Storm Emily Forms in Gulf of Mexico,39428,BPEarthWatch,118,841,36,"['IBM Watson', 'BpearthWatch', 'Science', 'Pur', 'Wix', 'Godaddy', 'glassesusa', 'Transformers', 'Paramount Pictures']",0,dHG-AdMXDow
4,"Hurricane Emily Video - Playa Del Carmen, Mexico",38343,Ultimate Chase,36,73,3,"['hurricane', 'cyclone', 'emily', 'typhoon', 'wind', 'tropical', 'mexico', 'playa del carmen', 'danger', 'extreme', 'category', 'intense', 'yucatan', 'peninsula']",0,iqpBE6IxwIk
5,2005 What-might-have-been Atlantic Hurricane Season,31635,Force Thirteen,272,183,17,"['2005 WMHB', '2005 Atlantic Hurricane Season', 'Hurricane Don', 'Hurricane Emily', 'Hurricane Lenny', 'Hurricane Philippe', 'Hurricane Rita', 'Hurricane Stan', 'Hurricane Vince', 'Hurricane Gamma', 'Hurricane Epsilon', 'Hurricane Zeta', 'Hurricane Katrina']",0,a-psLMKzQUs
6,Emily Underhill X Lyod - Hurricane,26575,MrBernibest,33,336,3,"['Emily', 'Underhill', 'Lyod', 'Hurricane', 'IDM', 'glitch', 'female', 'vocals', 'ambient', 'dubstep', 'downtempo', 'LYØD']",0,kQhtf87KpDw
7,"Emily Rodgers ""Hurricane""",15562,AbKosh,12,109,0,"['Emily', 'Rodgers', 'Misra', 'Folk', 'Indie']",0,6dOYA15qZG8
8,Flying through a hurricane eye,14835,WUTB1,3,62,1,"['flying', 'hurricane', 'eye', 'storm', 'aviation', 'emily', 'miami', 'florida', 'vol', 'oeil', 'cyclone', 'turbulence', 'loockheed', 'orion', 'NOAA']",0,1tR6X2Pwu2I
9,Hurricane Emily Surf Footage,10813,Dustin Bryson,5,10,2,"['surf', 'hurricane', 'surfing', 'Emily']",0,l9EBTJ6Ramw
