,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,Foul Don Fowler Amused by New Orleans Hurricane,383529,redstateabsentee,574,570,106,"['politics', 'Gotcha!', 'democrats', 'convention', '2008', 'don fowler', 'dnc', 'hurricane', 'gustav', 'fowler', 'spratt', 'foul']",0,TrBus8ORR78
1,Raw Video: Hurricane Gustav Roars Over Haiti,292403,Associated Press,0,149,15,"['tropical', 'weather', 'raw', 'video:', 'hurricane', 'gustav', 'roars', 'haiti', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,f3Ty2tOyC0Y
2,Approach of Hurricane Gustav,244633,Mark Holmes,157,346,21,"['Gustav', 'Hurricane', 'New', 'Orleans']",0,RMQjxE9pxvI
3,"Hurricane Gustav from Houma, Louisiana",183971,Reed Timmer,74,252,19,"['Tornado', 'Hurricane', 'Weather', 'Wind', 'Stormchaser', 'Video', 'Footage', 'Insane']",0,-V92CspEF5A
4,Category 5 Hurricane Gustav Hits Cuba,167116,Associated Press,0,103,14,"['tropical', 'weather', 'category', 'hurricane', 'gustav', 'hits', 'cuba', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,ijG5rvEj228
5,"Hurricane GUSTAV - Morgan City, LA - September 1, 2008",120171,Tropmet | Storm Chasing,82,278,7,"['Hurricane', 'Gustav', 'Tropical', 'Cyclone', 'Storm', 'Category', 'Two', 'August', 'September', '2008', 'Cuba', 'Morgan', 'City', 'New', 'Orleans', 'Lafayette', 'Iberia', 'Louisiana', 'Strong', 'Violent', 'Wind', '100', 'mph', 'Winds', 'Torrential', 'Heavy', 'Rain', 'Flood', 'Flooding', 'Disaster', 'Deadly', 'Landfall', 'Unroofed', 'Debris', 'Howling', 'Bridge', 'Warning', 'Chase', 'Chasing', 'Chaser', 'Michael', 'Laca', 'HD', 'HDV', 'High', 'Definition', 'Video', '1080i', '1080p', 'BD', 'Blu', 'Ray']",0,_7RGLFpqTv8
6,"Hurricane Gustav Nears, Is New Orleans Ready?",111452,Associated Press,0,81,9,"['tropical', 'weather', 'hurricane', 'gustav', 'nears', 'orleans', 'ready?', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,PhS0omP7KV0
7,"TWC - Local Forecast, Hurricane Gustav/Storm Alert Theme '05",77985,IndyBBall,62,118,7,"['TWC', 'The', 'Weather', 'Channel', 'Local', 'on', 'the', '8s', 'Intellistar', 'Weatherstar', 'Hurricane', 'Gustav', 'Storm', 'Alert', 'Theme', 'Music', '2005', 'Orlando', 'Florida']",0,PSjc1B1i2kA
8,Hurricane Ike Footage Extreme Video Stock Hurricane Gustav,47198,Warren Faidley,9,29,5,"['Hurricane', 'Gustav', 'Huricane', 'Ike', 'Footage', 'Video', 'Clips', 'storm', 'Surge', 'Galveston', 'Texas', 'Free', 'HD', 'Stock', 'Chasers', 'Faidley', 'video']",0,x1_XYB4kKf4
9,The Full Force of Hurricane Gustav in Louisiana,40466,CyrusNixes,25,98,3,"['hurricane', 'gustav', 'morgan', 'city', 'lafayette', 'louisiana', 'winds', 'damage', 'category']",0,b942fUmxL-A
10,Muddin on ATV's 1.5 Hurricane Gustav,37111,Cow465,21,23,3,"['Muddin', 'on', ""ATV's"", 'Mudding', 'ATV', 'Honda', 'Rancher', 'Polaris', 'Trailboss', 'Tanner', 'Mays', 'Zach', 'Pettis', 'Four', 'Wheeler', 'Wheelin', 'Wheeling', 'Mud']",0,jhepR5hQst0
11,RAW VIDEO; Hurricane Gustav roars towards Florida Gustav electricfies Tampa Bay,34103,1soulsurfer,21,62,6,"['hurricane', 'Gustav', 'Hanna', 'Florida', 'Lighting', 'St.', 'Petersburg', 'Tampa', 'Bay', 'Red', 'Cross', 'Pray', 'for', 'us.....', 'Praying']",0,MrP-AN7qN9M
12,Hurricane gustav Huracan Gustav En Cuba Isla de la juventud jaliscoPark.com,31731,Adriano Caldevilla,10,16,0,"['Huracan', 'Gustav', 'Cuba', 'JaliscoPark.com', 'isla', 'de', 'la', 'juventud', 'pinos', 'cuba']",0,Z3utqFyj7-o
13,Hurricane GUSTAV hits HAITI,25169,audioajunkie,2,11,0,"['haiti', 'hurricane', 'gustav', 'storm', 'nonprofit', 'orphanage', 'hands', 'feet', 'project', 'audio', 'adrenaline']",0,yC4yZCcCrhE
14,Hurricane Gustav hits US Gulf Coast - 31 Aug 08,24825,Al Jazeera English,0,45,2,"['tom', 'ackerman', 'al', 'jazeera', 'english', 'new', 'orleans', 'hurricane', 'gustav', 'cuba', 'caribbean', 'haiti', 'jamaica', 'storm']",0,IBAMSxW5mR8
15,Hurricane Gustav local forecast 9/1/08 10:28am: Clip 5,22867,Dj0287,22,47,2,"['The', 'Weather', 'Channel', 'local', 'forecast', 'Gulfport', 'Hurricane', 'Gustav']",0,v13mbXRlzKI
16,TWC Hurricane Gustav Storm Alert Local Forecast #1,22739,TWCZach,16,75,3,"['The', 'Weather', 'Channel', 'Local', 'on', 'the', '8s', 'Storm', 'Alert', 'Hurricane', 'Gustav']",0,ui2_ZJh3jlA
17,Hurricane Gustav local forecast 9/1/08 8:28am: Clip 4,22302,Dj0287,19,39,1,"['The', 'Weather', 'Channel', 'local', 'forecast', 'Gulfport', 'Hurricane', 'Gustav']",0,5KzC4nGV_FI
18,Worst Case Scenario Storm Surges from Hurricane Gustav,21843,WIRED,16,10,3,"['storms', 'hurricane', 'gustav', 'new', 'orleans']",0,YGVzq7d8cdg
19,Hurricane Gustav,16868,Brandon Ivey,18,52,3,"['hurricane', 'gustav', 'cyclone', 'tropics', 'storm', 'weather', 'brandon', 'ivey']",0,EV0RoKNz8sM
20,Hurricane Gustav Update 2 From Jeffie-Pants,15641,jeff champagne,4,17,1,"['Hurricane', 'Gustav', 'Houma', 'Louisiana', 'Jeffie-Pants', 'Funny', 'Weather', 'Jim', 'Cantore', 'jeffie', 'pants']",0,xds15o_JjUk
21,"New Orleans' mayor: Hurricane Gustav ""the storm of the century"" - 31 Aug 08",15112,Al Jazeera English,0,19,1,"['ray', 'nagin', 'al', 'jazeera', 'english', 'gustav', 'new', 'orleans', 'storm', 'hurricane']",0,TpwMwzvBoXE
22,Hurricane Gustav - Part 3,15067,RuralPrepper,35,43,2,"['Hurricane', 'Gustav', 'natural', 'disaster']",0,X4DorqdSGNU
23,Hurricane Gustav - Part 1,14891,RuralPrepper,21,50,11,"['Hurricane', 'Gustav', 'urban', 'survival']",0,fu1hYRQf958
24,Michelle Kosinski vs. Hurricane Gustav,14138,AndyMarquisLIVE,6,18,1,"['msnbc', 'nbc', 'news', 'hurricane', 'gustav', 'michelle', 'kosinski', 'gulfport', 'mississippi', 'katrina', 'new', 'orleans', 'tropical', 'storm', 'winds', 'reporter']",0,pnt0lVtd1WI
25,Gustav Hurricane Gustav Florida Coast Coastal Video,13828,Michael Berenis,7,22,10,"['Gustav', 'Hurricane', 'Florida', 'coastal', 'video', 'coast']",0,g3Xin3VQvmM
26,Hurricane Gustav,13638,ml750,0,6,2,"['gustav', 'huricane', 'tropical', 'storm', 'louisiana', 'new', 'orleans', 'cuba', 'path', 'flood', 'news', 'update', 'video', 'mph', 'atlantic', 'weather']",0,w0VKa-ZRW4g
27,Pinar Del Rio Vista Aereas After Hurricane Gustav,12892,Adriano Caldevilla,7,8,3,"['Huracan', 'Gustav', 'Pinar', 'del', 'Rio', 'Cuba', 'disaster']",0,X-A4ELlSVnM
28,"Hurricane Gustav Land Fall- Houma, LA September 1st, 2008 [HD]",11399,Scott McPartland - Extreme Weather Photography,19,35,3,"['Hurricane', 'Gustav', 'September', '2008', '2004', 'Houma', 'Louisiana', 'Hurricane Katrina', 'Hurricane Charley', 'Hurricane Ike', 'Category', 'violent', 'winds', 'damaging', 'storm', 'surge', 'video', 'Ike', 'Charley', 'Allen', 'Andrew', '1992', '2005', 'cyclone', 'typhoon', 'Japan', 'Florida', 'Guam', 'Pacific', 'Atlantic']",0,FdJkHBFFf_8
29,New Orleans Prepares for Hurricane Gustav,11108,Associated Press,0,25,0,"['gustav', 'preps', 'orleans', 'prepares', 'hurricane', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,Q4W9XBgnPU0
30,"FUNNY SERIOUS - Republican prays for ""TORRENTIAL RAIN""...Hurricane Gustav results?",11102,Gr8stG00d,39,48,11,"['James', 'Dobson', 'Stuart', 'Shephard', 'annotated', 'Don Fowler', 'Focus', 'on', 'the', 'Family', 'Hurricane', 'Gustav', 'Obama', 'redstateabsentee', 'politics', 'Gotcha!', 'rain', 'republican', 'convention', '2008', 'dnc', 'rnc', 'fowler', 'spratt']",0,pnG7F3BnfyE
31,Hurricane Gustav 3D Projected path; www.myCaribbeantour.com,10979,clickJamaicadotcom,3,6,2,"['news', 'commentary', 'analysis', 'Hurricane', 'Gustav', 'jamaica', 'usa', 'bolt']",0,dYV3vh4yb5k
32,Hurricane Gustav Update 4 by Jeffie-Pants,10695,jeff champagne,10,7,0,"['Hurricane', 'Gustav', 'Houma', 'Louisiana', 'Weather', 'Jim', 'Cantore', 'Jeffie-Pants', 'Jeffie', 'Pants']",0,ElzvSwDCT04
33,Two Democrats Make Fun of Hurricane Gustav and Palin,10692,electjohnmccain2008,42,46,12,"['mccain', 'election', 'politics', 'fowler', 'spratt', 'gustav']",0,JK65e9Ql8OA
34,Hurricane Gustav effects on Siesta Key Florida,10528,Brian Dombrowski,0,13,2,"['SSM', 'HD', 'Hurricane', 'Gustav', 'Storm', 'Surge', 'Damage', 'Siesta', 'Sarasota', 'Florida', 'Tropical', 'Flood', 'Waves', 'beach', 'wind', 'lightning', 'thunder', 'weather']",0,RtQyXsj0ZVw
50,"Hurricane Gustav devastates Los Palacios, Cuba.",10422,No Comment TV,17,8,0,"['no', 'comment', 'euronews', 'Los', 'Palacios', 'Cuba', 'Gustav', 'natural', 'disaster', 'storm', 'Hurricane', 'tv', 'watch', 'international', 'news', 'without', 'commentary']",0,ez1Cvhb4xxA
35,"Hurricane Gustav devastates Los Palacios, Cuba.",10422,No Comment TV,17,8,0,"['no', 'comment', 'euronews', 'Los', 'Palacios', 'Cuba', 'Gustav', 'natural', 'disaster', 'storm', 'Hurricane', 'tv', 'watch', 'international', 'news', 'without', 'commentary']",0,ez1Cvhb4xxA
36,Hurricane Gustav's Impact,10380,CBS,1,9,1,"['dave', 'price', 'gustav', 'hurricane', 'katrina', 'louisiana']",0,ttOLekiB8uo
