,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,Hurricane Ike Aftermath - High Voltage Power Line Sparks,1062941,swguthrie,239,1117,125,"['Hurricane', 'Ike', 'high', 'voltage', 'power', 'lines', 'short', 'circuit', 'sparks', 'Centerpoint', 'Energy', 'scary', 'electricity', 'shocker', 'shocking', 'plasma', 'tree', 'limb', 'explosion']",0,ZIuHbQSPjEA
1,Dear Hurricane Ike-  I TOLD THE STORM- LYRICS,874944,jeanetteaw,242,5715,280,"['hurricane', 'ike', 'texas', 'gulf', 'coast', 'storm', 'told', 'the', 'commentary', 'analysis', 'obama', 'Greg', ""O'Quin"", ""'n"", 'Joyful', 'Noyze', 'outreach', 'news', 'political', 'commercial', 'flood', 'monster', 'weather', 'tracking', 'predicted', 'days', 'video', 'update', 'cat', 'category', 'center', 'galveston', 'clears', 'ahead', 'evalcuate', 'gas', 'hike', 'looting', 'cute', 'happy', 'paul', 'washer', 'whatthebuck', 'funny', 'sad', 'joy', 'laPorte', 'baytown', 'bay', 'city', 'ship', 'channel', 'san', 'jacinto', 'Houston', 'conroe', 'i45.i10', '290', 'jersey', 'village', 'gospel', 'tropical', 'gains', 'strength', 'aims', 'cogic', 'baptist', 'black', 'soul', 'jesus', 'saves', 'holiness']",0,zzgTC5TS87Y
2,"Rogue Wave! Galveston, TX",642957,Jim Edds,362,1458,194,"['Hurricane', 'Ike', 'Galveston', 'Texas', 'Storm', 'Surge', '1900', 'NHC', 'NWS', 'typhoon', 'cyclone', 'eyewall', 'weather', 'meteorology', 'warning', 'forecast', 'earth', 'climate', 'seawall', 'wave', 'wind', 'rain', 'Disaster', 'Tornado', 'Thunder', 'Lightning', 'flood', 'climate change', 'global warming', 'evacuation', 'sea level', 'tropical depression', 'tropical storm', 'category 5', 'feeder band', 'tornado', 'hurricane ike']",0,VNGe-RrPuBw
3,Horrifying Sounds of Hurricane Ike,411478,The Weather Channel,998,3158,54,"['Weather', 'Channel', 'Hurricane', 'Ike', 'Behind', 'the', 'Scenes', 'Scary', 'Wind']",0,zMvu5EF13xA
4,Geraldo Rivera Dumped by Hurricane Ike on live TV,350270,hawk10101,58,169,6,"['Geraldo', 'Rivera', 'Fox', 'News', 'Live', 'TV', 'Hurricane', 'Ike', 'Texas', 'reporters', 'wave', 'dumped', 'blooper', 'falling', 'dunked', 'dunk', 'fall']",0,HW0M-DvkEn8
5,"Hurricane Ike in Galveston Island, TX -",299557,Reed Timmer,209,520,47,"['Hurricane', 'Ike', 'Galveston', 'Island', 'texas', 'video', 'footage', 'September', '13', '2008', 'reed', 'timmer', 'chris', 'chittick', 'dave', 'holder', 'tvn', 'tornadovideos.net', 'landfall']",0,VPjIfmZhU1g
6,Geraldo Rivera Falls From Hurricane IKE,269150,ressorpr,227,377,15,"['Geraldo', 'Rivera', 'Heraldo', 'Falls', 'Fall', 'From', 'Hurricane', 'IKE', 'Fox', 'News', 'water', 'wave', 'Galveston', 'TX', 'Texas']",0,FziScjyf4Ic
7,Reporter Blown Away By Hurricane Ike (Literally!!),241889,800monkeys,52,244,11,"['Hurricane', 'Ike', 'Bear', 'Visits', 'Galveston', 'Storm', 'surge', 'winds', 'destruction', '100', 'mph', 'Costume', 'Island', 'KHOU', 'Houston', 'Tex']",0,Q8ni7ULcj94
9,"Hurricane IKE - Florida Keys - September 8-9, 2008",235666,Tropmet | Storm Chasing,76,328,24,"['Hurricane', 'Ike', 'Tropical', 'Cyclone', 'Storm', 'Category', 'Four', 'September', '2008', 'Cuba', 'Bahamas', 'Turks', 'Caicos', 'Inagua', 'South', 'Florida', 'Keys', 'Islamorada', 'Key', 'West', 'Galveston', 'Bolivar', 'Peninsula', 'Texas', 'Strong', 'Violent', 'Wind', '50', '60', '70', 'mph', 'Winds', 'Heavy', 'Rain', 'Surge', 'Wave', 'Waves', 'Spray', 'Coastal', 'Flood', 'Flooding', 'Disaster', 'Deadly', 'Landfall', 'Palm', 'Palms', 'Tree', 'Flag', 'Flags', 'Howling', 'Bahia', 'Honda', 'Bridge', 'White', 'Street', 'Pier', 'Warning', 'Chase', 'Chasing', 'Chaser', 'Michael', 'Laca', 'HD', 'HDV', 'High', 'Definition', 'Video', '1080i', '1080p', 'BD', 'Blu', 'Ray']",0,RyApe7EcY9o
8,Hurricane Ike Storm Surge Bashing the Galveston Seawall,234154,David Drummond,61,189,17,"['hurricane', 'ike', 'galveston', 'texas', 'storm', 'surge', 'balinese', 'room']",0,mJbfGUylkR0
