,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,Mexico Floods: Crocodile In Street,23597,Sky News,9,38,3,"['crocodile', 'Mexico', 'Acapulco', 'flood', 'Ingrid', 'Manuel', 'Hurricane', 'Tropical Storm']",0,IR4sTQUegIU
1,Retired Hurricanes of the 2010's,15356,Storm Shield App,264,101,1,"['storm shield app', 'weather', 'storm shield', 'Tropical Cyclone (Disaster Type)', 'Hurricane Sandy (Tropical Cyclone)', 'hurricane', 'Tropical Cyclone Naming', 'Hurricane Igor (Tropical Cyclone)', 'Hurricane Tomas (Tropical Cyclone)', 'Tropical Storm Irene (Tropical Cyclone)', 'hurricane ingrid']",0,bv474VwE_v8
2,"Raw: Deadly Tropical Storm, Hurricane Hit Mexico",13662,Associated Press,0,29,5,"['03bf92f4933c453b891817850ef24c4a', 'mexico tropical weather', 'Select', 'Plus', 'Mexico', 'Central America', 'Latin America and Caribbean', 'Seniors', 'General news', 'Environment and nature', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,9KG_kjDCWT4
3,"Hurricane Ingrid to Hit Tampico Mexico on Monday September 16, 2013",5418,Frankie MacDonald,29,56,5,"['Mexico Storm Monday (Day Of Week) Night Tampico', 'Tamaulipas (City/Town/Village) Hurricane Rain Wind Weather']",0,bJEK22C1O4Y
4,Safe haven from Hurricane Ingrid,3871,U.S. Coast Guard,1,18,0,"['Coast Guard', 'USCG', 'U.S. Customs And Border Protection (Government Agency)', 'Texas Parks And Wildlife Department (Government Agency)', 'law enforcement', 'Mexico (Country)', 'Texas', 'Brownsville', 'South Padre Island (City/Town/Village)', 'boarding team', 'Hurricane Ingrid', 'Force Majeure', 'mexico', 'mexican', 'hurricane', 'ingrid', 'customs', 'border protection', 'fish', 'fishing', 'fishermen', 'shrimp', 'shrimpers', 'shrimping', 'port', 'safety', 'safety of life at sea', 'u.s. coast guard', 'coast guard']",0,_ouT36QUZuo
5,2013 Atlantic Hurricane Season Animation (Preliminary),3654,Force Thirteen,15,27,0,"['2013 Atlantic Hurricane Season', '2013 Atlantic Hurricanes', '2013 Storms', '2013 Tropical Cyclones', 'Tropical Storm Andrea', 'Hurricane Ingrid', 'Tropical Storm Karen']",0,znTiuyJ8Uug
6,Hurricane Ingrid expected to make landfall Monday morning,2948,CBS 4 News Rio Grande Valley,1,8,0,"['Rio Grande Valley', 'Texas', 'KGBT', 'Action 4 News', 'Barrington Broadcasting', 'weather', 'hurricane', 'ingrid', 'rain', 'storm', 'kgbt', 'action 4 news', 'brett crandall', 'forecast']",0,Z6kxIFszb6E
7,"Hurricane Ingrid and Storm Manuel Drenches Mexico, Killing 17",2800,NTDTV,0,3,1,"['Hurricane Ingrid', 'Storm Manuel', 'Mexico', 'gulf', 'pacific coast', 'heavy rains', 'flooding', 'mexico weather', 'mexico news', 'facts about mexico', 'coastal weather', 'mexico flood', 'mexico hurricane', 'mexico storm', 'mexico season', 'rainfall', 'mudslides', 'highway', 'Veracruz', 'tropical storm', 'weather forecast', 'world weather', 'gulf weather', 'latin america', 'river', 'world news', 'rain season', 'monsoon', 'mexico travel', 'mexico tour']",0,56ez0qBLu_k
8,"Huracán Ingrid, Tormenta Tropical Manuel. Temporada Huracanes México / Caribe Hurricanes [IGEO.TV]",2768,i geotv,0,9,1,"['Tropical Cyclone (Disaster Type)', 'ver huracan', 'Tiempo', 'Ciclones', 'huracan', 'Mexico', 'septiembre', 'Huracán', 'Humberto', 'Gustav', 'Ingrid', 'Manuel', 'tormenta tropical', 'tormenta', 'lluvias', 'Servicio Meteorológico Nacional', 'Weather', 'Cyclone', 'Hurricane', 'September', 'tropical storm', 'storm', 'rain', 'National Weather Service', 'Tornado', 'raymond', 'Lightning', 'tifon', 'fitow', 'predicción', 'Caribe', 'ingrid', 'manuel', 'igeo.tv', 'igeo', 'google earth animation', 'animacion google earth', 'google earth', '3D', 'geografia', 'geo news', 'noticias', 'francisco', 'filipinas', 'haiyan']",0,CHkDSZagQQU
9,"Deadly hurricane, tropical storm combine in Mexico",1967,AFP news agency,0,3,3,"['WEB', 'MEXICO', 'WEATHER', 'STORM', 'FLOODS']",0,jdVnHw-GpKY
10,Mexico storm turns into hurricane,1885,Al Jazeera English,8,7,0,"['2681116214001', 'americasnews', 'acapulco mexico', 'Virginia Garcia', 'latin america', 'package', 'flood victim', 'Al Jazeera English', 'News', 'stranded tourist', 'David Mercer', 'al Jazeera', 'jazeera', 'maria lunez', 'Mexico', 'Jose Lopez', 'youtube', 'unblocked', 'aljazeera']",0,MIZfaXxCKbA
11,Hurricane Ingrid and Tropical Storm Manuel,1312,EUMETSAT,0,4,0,"['EUMETSAT', 'Meteorology', 'Weather', 'Climate', 'Europe', 'Meteosat', 'NOAA', 'Hurricane Ingrid', 'Tropical Storm Manuel', 'Mexico']",0,goA4QZbDBC4
12,"Hurricane Ingrid - Mexican Gulf Coast Sep 16, 2013",729,Richard K. Leach,2,1,0,"['Hurricane Ingrid', 'Mexican Gulf', 'Sep 16', '2013', 'Hurricane Ingrid Mexican Gulf Coast', 'Mexican Gulf Coast']",0,rdXY4hTXLuQ
13,Hurricane Ingrid bears down on Mexico - Update 3 (9/16),670,Force Thirteen,2,7,1,['__UNKNOWN__'],0,pcExErUELvM
14,Manuel a Hurricane After Deadly Mexico Flooding,636,WLNNews,0,0,0,"['Manuel a Hurricane After Deadly Mexico Flooding', 'tropical storms Ingrid', 'Hurricane', ""Acapulco's international airport"", ""Mexico's west coast"", 'powerful storms hit Mexico within 24 hours.', 'Looting Hits Acapulco as Mexico Floods Squeeze Supplies']",0,SujKbKPvHts
15,hurricane ingrid,611,tropicalweather1,0,3,0,"['hurricane ingrid', 'hurricane', 'ingrid', 'weather', 'tropical storm', 'Storm', 'Rain', 'Tornado', 'Lightning', 'Thunder', 'Flood', 'News', 'Wind', 'tropical update', 'tropical cyclone']",0,66wTMKhxwM0
16,Hurricane Ingrid and Tropical Storm Manuel Hit Mexico [IGEO.TV],611,IgeoNews,0,3,1,"['Tropical Cyclone (Disaster Type)', 'Storm', 'Hurricane', 'Weather', 'Cyclone', 'Mexico', 'September', 'Tornado', 'Humberto', 'Gustav', 'Ingrid', 'Manuel', 'Tropical storm', 'Rain', 'threat', 'Flood', 'National Weather Service', 'Lightning', 'Forecast', 'Wind', 'Caribbean', 'big storm', 'big hurricane', 'huricane threat', 'disaster', 'Disaster (Taxonomy Subject)', 'igeo.tv', 'igeo', 'google earth animation', 'animation google earth', 'google earth', '3D', 'geography', 'geo news', 'news', 'yolanda', 'filipinas', 'typhoon', 'philippines']",0,W09bbrR2T0g
17,"Sep 12 - español/english weather - futura Tormenta Tropical Ingrid?, Gabrielle, Hurricane Humberto",566,severeweathertv,0,1,0,"['wx', 'weather', 'tiempo', 'hurricane', 'huracan']",0,B2HZsjcltXg
18,"Gabrielle is back, Humberto is almost a hurricane, and Ingrid could form soon in the Gulf.",554,UF Weather,0,2,0,"['WRUF', 'WUFT', 'University of Florida', 'College of Journalism and Communications', 'Gainesville', 'Florida', 'Weather', 'Weather Channel', 'Florida Public Media']",0,6q1lkFzCraI
19,"Ingrid nearly a hurricane - Update 2 (9/14/13, 4pm UTC)",519,Force Thirteen,8,8,0,['__UNKNOWN__'],0,peY11kYc1gQ
20,Windsurfing at Port Aransas (early Hurricane Ingrid swell arriving),518,freestylesail,0,3,0,['__UNKNOWN__'],0,QXKdvaFmAsY
21,"Mexico death toll at 21 amid hurricane, tropical storm",349,WLNNews,0,0,0,"['exico hit by severe storms on both coasts', 'west coasts', 'Mexico']",0,Nx05FUZpU1g
22,Hurricane Ingrid kiteboarding Corpus Christi Tx 9/16/2013,341,chad.361,0,0,0,"['Adam DelVecchio', 'kiteboarding corpus', 'texas kiteboarding', 'kiteboarding in hurricane', 'hurricane ingrid']",0,al9WE-O5L30
23,Hurricane Ingrid / 10L (2013),312,TropicalArchive,0,0,0,"['Hurricane', 'Ingrid', '10L', '2013', 'Atlantic', 'Season', 'Noaa', 'Satellite', 'Animation', 'RGB', 'GOES', 'Floater', 'Sector', 'ssd.noaa.gov', 'SSD']",0,vwAqjfQkdEA
24,Mexico storm turns into hurricane,300,ENEWSWORLDS,0,0,0,"['justin bieber', 'powerball', 'facebook', 'drake', 'star wars', 'iphone 5c', 'amazon', 'lady gaga', 'beyonce', 'pink', 'taylor swift', 'adele', 'kim kardashian', 'miley cyrus', 'nba', 'best buy', 'iphone 5s', 'apple', 'minecraft', 'pinterest', 'android', 'youtube', 'linkedin', 'nicki minaj', 'bruno mars', 'rihanna', 'one direction', 'lil wayne', 'nascar', 'paramore', 'daft punk', 'syria', 'obama', 'ufc', 'edward snowden', 'katy perry', 'kate middleton', 'nfl', 'mayweather vs canelo', 'egypt', 'nhl', 'vladimir putin', 'navy yard shooting', 'bradley manning', 'gta 5', 'ios 7', 'ipad']",0,EMrUsSAh-MI
25,"Hurricane Ingrid, Tropical Storm Manuel At Mexico",292,Puthiya Thalaimurai TV,0,0,2,"['Tamil Live News', 'Puthiya Thalaimurai', 'Puthiyathalaimurai', 'puthiyathalaimurai.tv', 'New Generation', 'Online', 'Videos', 'Latest Videos', 'Updates', 'Latest Newstamil News', 'tamil latest news', 'PTTV', 'Puthiyathalaimurai TV', 'Hurricane Ingrid', 'ropical Storm Manuel', 'Mexico', 'Ingrid', 'Hurricane', 'Tropical Storm', 'Manuel', 'killed 20', '38 dead', 'tropical storms', 'tropical storms lash', 'ACAPULCO', 'Emergency flight', 'evacuat', 'flooding', 'landslides', 'highway to Mexico City']",0,LpzY0T5MfJs
26,Ingrid Preparations,288,CBS 4 News Rio Grande Valley,0,0,0,"['Rio Grande Valley', 'Texas', 'KGBT', 'Action 4 News', 'Barrington Broadcasting', 'Hurricane', 'Ingrid', 'Preparations', 'Daisy Barrera']",0,-ORiS4powEM
27,Mexico hit by Hurricane Ingrid and Tropical Storm Manuel,227,Martin Brodel,3,6,1,"['Logitech', 'webcam', 'mexico tropical storms kill 34 people. syria update', 'cher talks about miley cyrus pink', 'house conservatives healthcare', 'aaron alexis kills 12 people']",0,tazXxmuikno
28,Hurricane Ingrid,212,Alex Boza,0,0,0,['Hurricane Ingrid'],0,H6ZNMdVkuhE
29,Hurricane Ingrid Effects on the Bay at Fulton,197,Johnny Taylor,2,3,0,"['ocean photos', 'beach photos', 'time lapse', 'swimming', 'outdoors', 'texas coast', 'hi-res', 'high definition', 'HD', 'fulton harbor', 'fishing', 'pier', 'waves', 'ocean', 'fulton', 'photography', 'videography', 'texas', 'rockport', 'rockport texas', 'sea', 'fulton weather', 'johnny taylor', 'action shots', 'gopro hero', 'hero', 'gopro black', 'videographer', 'slideshow', 'tina', 'riptide tina', 'dog', 'riptide tina the dog', 'handicapped', 'scooter', 'mobility scooter', 'pier pressure productions', 'pier pressure', 'Beach', 'Palm', 'Bay (Geographical Feature Category)']",0,FAz5nb38QtQ
30,▶ Crocodiles Infest Acapulco Mexico Floodwaters due to Devastating Tropical Storm Hurricane Manuel,176,AmazingNewzdaily,0,0,0,"['breaking news', 'raw video', 'raw footage', 'caught on tape', 'caught on video', 'caught on camera', 'Tropical Cyclone (Disaster Type)', 'Acapulco (City/Town/Village)', 'Storm', 'Mexico (Country)', 'Lightning', 'News', 'Interview', 'Def', 'Thunder', 'Rain', 'Weather', 'Tornado', 'Jam', 'Disaster (Taxonomy Subject)', 'Flood', 'Footage', 'Wind', 'Crocodiles Infest Acapulco Mexico']",0,3mRRify_ciU
