,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,"Hurricane Irene, National guard almost drown Manville, NJ",1677291,bankrolls12,1646,2028,552,"['National', 'guards', 'and', 'Trooper', 'almost', 'drown....']",0,C6b54bZepoA
1,"Hurricane Irene 2011, Bahamas, 8.15am - GoPro HD",1379744,Scott Thayer,2840,921,224,"['gorpo hero', 'go pro hd', 'gopro hd2']",0,nP7VsXfZGdk
2,NEW JERSEY HURRICANE IRENE,1113173,BFvsGF,4084,17705,240,"['hurricane', 'irene', 'new jersey', 'flood', 'rain', 'storm', 'tropical', 'power', 'outage', 'vlog', 'vlogs', 'vlogger', 'vlogging', 'zombies', 'zombie', 'pvr', 'call', 'of', 'duty', 'dinner', 'cook', 'cooking', 'dark', 'lights', 'candle', 'flashlight', 'bfvsgf', 'bf vs gf', 'dope freshness', 'pvp', 'prank vs prank', 'prankvsprank', 'couple', 'girlfriend', 'boyfriend', 'jersey shore', 'iphone', 'cell', 'phone', 'electricity', 'lightning', 'thunder', 'weather', 'tornado', 'dance', 'dancing', 'cookie', 'cookies', 'tv', 'shows', 'gummi', 'bears', 'smurfs', 'reading', 'rainbow', 'duck', 'tales', 'cartoons', 'old', 'school']",0,HFS4CeI6clo
3,UFO Filmed By Astronauts Flying Over Hurricane Irene 8-26-2011,934300,Nunya Bidnez,0,1475,409,"['UFO', 'Space Station', 'Hurricane Irene And UFO', 'Extraterrestrial', 'UFO Disclosure', 'Unidentified Flying Object']",0,O9qG-0_JCVg
4,Through Hurricane Irene the Tomb of the Unknown Solider still guarded 24/7,746055,Rex E Howell Jr,398,1420,80,"['Through', 'Hurricane', 'Irene', 'the', 'Tomb', 'of', 'Unknown', 'Solider', 'still', 'guarded', '24/7']",0,ovFQxcNUxxo
5,Hurricane Irene shark in the street.,709479,James Ernestine,193,343,78,"['hurricane', 'shark', 'street.']",0,gc29EYhA9BI
6,"MISHKA EVACUATES ""HURRICANE IRENE""! 9:00 PM NJ (8/27)",575368,gardea23,1385,4364,74,"['mishka the talking dog', 'mishka the talking husky', 'siberian husky', 'gardea23', 'mishka', 'husky', 'huskies', 'talking dog', 'talking animals', 'famous dogs', 'dog talking youtube', 'talking dog video', 'mishka dog', 'celebrity pets']",0,6JIju9WFhdM
7,Hurricane Irene Slams Into North Carolina Coast,420832,Associated Press,0,188,50,"['irene', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,ziTLUrZMGfM
8,"INSANE Hurricane Irene Wind Video - Nassau, Bahamas - HD Video",361986,Ultimate Chase,316,928,34,"['hurricane', 'irene', 'wind', 'bahamas', 'nassau', 'danger', 'tropical', 'palm trees', 'mike theiss', 'ultimate chase', 'islands', 'tropics', 'new', 'york', 'boston', 'washington', 'dc', 'long', 'island', 'northeast', 'north', 'carolina', 'outer', 'banks', 'storm', 'nature', 'cyclone']",0,RIRodRRFu4s
9,"""Hurricane Irene Tracks To New York City"" the song.Ray Sipe.",323676,raysipeladygaga,856,1540,816,"['hurricane_irene_track', '/new_york_city', '/big_apple', '/_lady__gaga', '/_ray_sipe', 'google_./_youtube', '/_facebook', '/_myspace/florida', 'nyc', 'brooklyn', 'billy']",0,TVZEJdP6Mgc
