,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,Live footage as Hurricane Irma destroys Maho Beach Cam in St Maarten   9/6/2017,14137152,PTZtv,0,46128,5024,"['Hurricane Irma', 'St Maarten', 'Maho Beach']",0,dA5qYrboTUE
1,UNBELIEVABLE 23 FOOT WAVES CATASTROPHIC POWER ~ CATEGORY 5 MASSIVE HURRICANE ⚠️,8944692,Right Wing,9304,20415,7621,"['category 5', 'hurricane irma', 'irma', 'hurricane']",0,Wb36EHTSKTk
2,"Scary First Video Miami hit by Irma Hurricane , Florida - hurricane Irma aftermath",5287971,Now That’s Trending,4113,14547,4528,"['Hurricane', 'Irma', 'Florida', 'Aftermath']",0,mQQf6f3BBf0
3,"Hurricanes Irma, Jose, and Katia, all at once on 9/6/17",5086791,WKRG,8222,51333,1166,"['WKRG', 'WKRGNews5', 'hurricane', 'tropical storm', '3 storms', 'atlantic', 'hurricane season', 'hurricane irma', 'hurricane jose', 'hurricane katia', 'forecast', 'prediction', 'cone', 'models', 'spaghetti', 'meteorology', 'weather', 'alan sealls', 'best weatherman ever']",0,XwW6ZWaQ4bs
4,Hurricane Size Comparison,4483451,Reigarw Comparisons,10559,39359,2831,"['largest hurricane', 'largest tornado', 'most powerful tornado', 'most power hurricane', 'most powerful typhoon', 'most powerful cyclone', 'hurricane andrew', 'hurricane irma', 'hurricane katrina', 'hurricane irma size']",0,NoxKH_v8b-8
5,❗️FURACÃO IRMA CHEGA HOJE NO CARIBE❗️ CATEGORIA 5! | HURRICANE IRMA | Lorrayne Mavromatis,4288143,Lorrayne Mavromatis,38707,245128,2456,"['furacão irma', 'furacão', 'hurricane irma', 'hurricane season', 'temporada de furacão', 'furacão lorrayne mavromatis', 'lorrayne mavromatis', 'tempestade tropical', 'caribe', 'st. maarten', 'proteger furacão', 'furacão chegando', 'lorrayne', 'sint maarten']",0,aSil50l2k88
6,Live Footage as Hurricane Irma Destroys the Caribbean,3966478,The Two Preachers,1349,10325,2673,"['news', 'society', 'weather', 'Jesus', 'bible', 'endtimes', 'bibleprophecy2017', 'jasona', 'paulbegley']",0,Ea-_ZzTZBdg
7,"15+ Floridians Who Fought Hurricane Irma With A Sense Of Humor, And Won The Internet",3585026,Funny Life,4442,29521,3262,"['funny', 'funniest', 'funny pictures', 'photos', 'hilarious', 'funny pics', 'media', 'adorable', 'funny life', 'funny vines 2017', 'vines 2017', 'fails 2017', 'funny videos 2017', 'funny fails', 'fails funny', 'funny videos', '15+', 'fail', 'compilation', 'floridians', 'humor', 'hurricane', 'irma', 'fought hurricane', 'internet', 'sense']",0,mdWm4TvSalg
8,Micro Fishing Before Hurricane Irma! What type of Catfish?,3043963,Monster Mike Fishing,1804,10746,1380,"['irma', 'hurricane irma', 'micro fishing', 'fishing in miami', 'peacock bass', 'miami fishing', '1Rod1ReelFishing', 'bass fishing', 'monster mike', 'miami fishing charter', 'peacock bass charter', 'tallfishermanj', 'peacock bass lure', 'best lure', 'how to catch peacock bass', 'best fishing reel', 'best fishing rod', 'best place to fish', 'what bait', 'south florida fishing', 'jon b', 'catch em all fishing', 'catch and cook', 'darcizzle', 'apbassing', 'lunkerstv', '618 fishing']",0,KF-PIOOo5p8
9,Getting prepared for Hurricane Irma!,2835015,Plush Time Vlogs,13331,21864,3136,"['hurricane', 'hurricane irma', 'irma', 'plush time vlogs', 'ptv', 'buying supplies', 'hurricane prep', 'preparing for the the hurricane', 'tropical storm', 'tropical storm irma']",0,MhYx0jZ_DoA
