,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,Kraftklub - Karl-Marx-Stadt Live@Hurricane Festival 2014,44996,TONMAUERTV,0,180,4,"['Chemnitz (German City)', 'Kraftklub (Musical Artist)', 'Hurricane Festival (Music Festival)', 'Live (Composer)', 'Live', 'Festival', 'Rock', 'Pop', 'Indie Rock', 'Konzert', 'Musik', 'Zu Jung', 'Party', 'Fest', '2014', 'Karl-Marx-Stadt']",0,1ix6EwVhyM8
1,Global Hawk's View of Karl,20049,NASA Video,1,25,1,"['Aeronautics', 'Earth']",0,rRGSqUIpf7g
2,""" Karl Marx Stadt "" Kraftklub Live Hurricane Festival 2014",13144,Nadine Jensen,1,68,2,"['Kraftklub (Musical Artist)', 'Chemnitz (German City)', 'Hurricane Festival (Music Festival)', '2014', 'Karl Marx Stadt', 'Karl Marx (Author)', 'Live (Composer)']",0,3f6ZDx3hxpo
3,2010 Atlantic Hurricane Season Animation,13004,Force Thirteen,19,40,1,"['2010', 'Atlantic', 'Hurricane', 'Season', 'Animation', 'Storm', 'Thunder', 'Lightning', 'Rain', 'Tornado', 'Weather', 'Disaster', 'Flood', 'Wind', 'Hurricane Earl', 'Hurricane Igor', 'Hurricane Tomas']",0,etSfRZpcaxk
4,BREAKING: Hurricane Julia Is Baaaaaaaaack!,10754,Paul Begley,46,206,19,"['News', 'BREAKING NEWS', 'Hurricane Julia', 'storms', 'Florida', 'Georgia', 'South Carolina', 'Hurricane Karl', 'Hurricane Ian', 'bible prophecy', 'rain', 'wind', 'floods', 'fear', 'faith', 'fire', 'flames', 'Jesus Saves', 'apocalypse', 'paul begley']",0,Q6sAIkNlvIU
5,Hurricane Earl - Vieques Island Puerto Rico - clip 001,9234,Karl Alexander Director/Photographer,3,10,1,"['hurricane', 'earl', 'vieques', 'puerto', 'rico', 'tropical', 'storm', 'karl', 'alexander', 'kinetic', 'illusions', 'adventure', 'filmmaking', 'caribbean', 'travel', 'yt:crop=16:9']",0,-2iqDG-VUp8
6,NASA Global Hawk Flies Over Hurricane Karl,7780,okrajoe,2,16,0,"['NASA', 'Global', 'Hawk', 'fly', 'Hurricane', 'Karl', '2010', 'drone', 'camera', 'video', 'aviation', 'aerospace', 'weather', 'tropical', 'storm']",0,1W7DDeZD5Gw
7,Hurricane Karl Kills at Least 7 in Mexico,6500,Associated Press,0,6,2,"['Tropical', 'Weather', 'associated press', 'AP', 'AP youtube', 'associated press youtube', 'AP online', 'ap associated press', 'ap news', 'associated press style', 'news', 'breaking news', 'latest news', 'business', 'finance', 'politics', 'local news', 'commentary', 'reports', 'breaking', 'current affairs', 'top news', 'headlines', 'news today']",0,obK947LNciM
8,Hurricane Karl,5911,NASA Johnson,15,32,1,"['Hurricane Karl', 'International Space Station', 'Expedition 24', 'Mexico']",0,71y8fsYTnpI
9,"Hurricane KARL in Veracruz, Mexico (2010)",5592,iCyclone,10,43,0,"['hurricane', 'karl', 'Karl', 'Veracruz', 'Mexico', '2010', 'chase', 'chaser', 'chasing', 'iCyclone', 'icyclone', 'weather', 'storm', 'Morgerman', 'huracán', 'hurricane karl', 'hurricane karl chase', 'hurricane chase', 'hurricane chaser', 'hurricane chasing', 'huracán karl']",0,e-biiEZ_VC4
