,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
486,Robbie Williams - Candy,77990611,robbiewilliamsvevo,32173,410282,15362,"['Robbie', 'Williams', 'Candy', 'Universal', 'Music', 'Pop', 'Williams\nIsland', 'Records\nUniversal', 'Music\nTake', 'The', 'Crown\nTake', 'That\nGary', 'Barlow\nAngels\nRock', 'DJ']",0,gtOV7bp-gys
482,Brantley Gilbert - Kick It In The Sticks,65292447,BrantleyGilbertVEVO,14570,256823,18717,"['Brantley', 'Gilbert', 'Kick', 'It', 'In', 'The', 'Sticks', 'Valory', 'Music', 'Co.', 'LLC', 'Country']",0,ve8sNTqrzCw
503,Rihanna - Diamonds (Lyric Video),65160696,RihannaVEVO,19029,389487,17511,"['Rihanna', 'Diamonds', '(Lyric', 'Video)', 'Island', 'Def', 'Jam', 'Pop']",0,1WifEFI6eK8
398,Woodkid - Iron (Official Video),64026343,WOODKID,51098,548456,10516,"['Woodkid', 'woodkidmusic', 'director', 'the golden age', 'games', 'revolver', 'slow motion', 'Iron', 'ubisoft', 'run boy run', 'video', 'HSI', 'GUM', 'Agyness Deyn', 'the shoes', 'johann lemoine', 'Yoann Lemoine', ""assassin's creed"", '3D', 'FX', 'fume', 'caviar', 'green united', 'green united music', 'music', 'goldenage']",0,vSkb0kDacjs
481,Thug Le Song | Ladies vs Ricky Bahl | Ranveer Singh | Anushka Sharma | Vishal Dadlani | Sweta Pandit,44916085,YRF,5609,95581,5790,"['Ranveer Singh', 'Anushka Sharma Song', 'Ladies vs Ricky Bahl', 'Parineeti Chopra Song', 'Hindi Song', 'Hindi New Song', 'Latest Hindi Song', 'Bollywood Song', 'Ranveer Singh Hit Song', 'Latest Ranveer Singh Song', 'Best of Benny Dayal', 'Vishal Dadlani', 'Salim Sulaiman songs', 'Latest Hindi Trailer', 'Bollywood Trailer', 'Full Movie', 'Romantic Movie', 'Best of Ranveer Singh', 'Ranveer New Movie', 'Anushka New Song', 'Benny Dayal Song', 'Ranveer Dance Song', 'Love Song', 'Romantic Song', 'Anushka Sharma Movie']",0,LEYXdZ_rVbo
176,Lee Brice - Hard to Love (w/ lyrics),19868062,JavaTheBean,2725,107416,3716,"['Lee Brice', 'Lyrics', 'Hard to Love', 'New Single', 'Lyrics on Screen', 'Country Music']",0,XpVtPSlUr3I
515,Achko Machko - Yo Yo Honey Singh - Brand New Song 2016,18121068,Mafia Mundeer Records,4783,94385,5107,"['Yo Yo Honey Singh', 'Achko Machko Honey Singh', 'Honey Singh Latest Song', 'Honey Singh Gujarati Song', 'Navratri Honey Singh Song', 'Navratri Rap', 'Mafia mundeer', 'achko machko']",0,HGCYdZUfSWk
490,Megadeth - Tornado of Souls (HD),7524002,MegaHermansen,3143,34257,952,"['Dave', 'Mustaine', 'Mega', 'Megadeth', 'Tornado', 'of', 'Souls', 'Rust', 'in', 'peace', 'HD', 'MegaHermansen', 'Hermansen']",0,Lcm9qqo_qB0
507,The Isley Brothers - Hello It's Me,7270695,breatheoffreshair360,1388,48175,3329,"['The', 'Isley', 'Brothers', 'Ronald', 'Ernie', 'Rudolph', 'Vernon', 'Marvin', 'Hello', ""It's"", 'Me', 'R&B', 'doo-wop', 'soul', 'rock', 'and', 'roll', 'funk', 'disco', 'quiet', 'storm', 'smooth', 'jazz', 'blues']",0,R7VBUDL7PCk
498,[Just Dance 3] Boom - Reggaeton Storm,6437912,BowserBikeJustDance,1221,19023,1350,"['just', 'dance', 'just dance', 'JD', 'JD3', 'just dance 3', 'justdance', 'for', 'nintendo', 'sur', 'on', 'wii', 'footage', 'gameplay', 'video', 'game', 'demo', 'demonstration', 'high', 'quality', '720p', 'hd', 'hq', 'BowserBike', 'bowser bike', 'ubisoft', 'choreography', 'chorégraphie', 'full version', 'full', 'song', 'new', 'soundtrack', 'music', 'musique', 'chanson', 'track', 'en entier', 'hq choreography', 'boom', 'reggaeton storm', 'MC magico', 'alex wilson', 'MC magico and alex wilson', 'from prada to nada', 'routine', 'moves', 'coach']",0,7M4UunH6JFc
177,Naruto Vs Rock Lee (Real Fight),5923444,Jimmy Medeiros,11520,56271,2904,"['Naruto Vs Rock Lee', 'Real Fight']",0,VolvOrdTCfs
466,Greg Bates - Did It For The Girl,5036302,GregBatesVEVO,896,30074,589,"['Greg', 'Bates', 'Did', 'It', 'For', 'The', 'Girl', 'Republic', 'Nashville', 'Country']",0,6T8YinDHuBk
516,Bugs Bunny Opera,4093012,Orlando D'Jesús,1328,34422,786,"['Bugs', 'Rules']",0,Zy5f87-kI8c
461,Gloriana - Can't Shake You (Official Video),3683005,glorianatheband,787,23004,562,"['gloriana', ""can't shake you"", 'country', 'music']",0,TopmYCaJ3zc
510,Smoky Mountain Rain - Ronnie Milsap,2936775,Dantz Music Studio,0,18548,748,"['Smokey Mountain Rain', 'Ronnie Milsap', 'Gatlinburg', 'Knoxville', 'Tennessee', 'Smoky Mountain Rain']",0,wC6bo3XJnVQ
485,Ip Man Wing Chun Against 10 Karate Black Belts,2815652,Smexy7Boy,2280,11384,405,"['Ip', 'Man', 'Wing', 'Chun', 'Against', 'Karate', 'Kungfu', 'Black', 'Belt']",0,upwyWKzozII
509,George Carlin - 7 dirty words (best part),2706877,tazredakteur,1929,18029,439,"['George', 'Carlin', 'Dirty', 'Words', 'Part', '1', 'of', '3']",0,vbZhpf3sQxQ
124,Naruto- Beautiful Green Beast(Extended),2183123,Steveshi Clayxui,706,8167,301,"['Naruto', 'Stevan535']",0,5C9QVGjvqj0
483,Rock Of Ages - Rock You Like A Hurricane scene featuring Tom Cruise & Julianne Hough,2123796,waynefarro,857,6739,270,"['rock', 'of', 'Julianne Hough (Dancer)', 'Tom Cruise (Actor)', 'Rock Of Ages (2012 Film)', 'Dance (School Category)', 'Rock Music (Musical Genre)']",0,0wTYEtHYbgs
449,Framing The Red - Country Band Man (Official Music Video),2025344,Framing the Red Official Page,496,11401,674,['__UNKNOWN__'],0,sFZud4S7e78
456,Framing The Red - Country Band Man (Official Music Video),2025344,Framing the Red Official Page,496,11401,674,['__UNKNOWN__'],0,sFZud4S7e78
469,Art Of Dying - Sorry (Official Lyric Video),1622843,Art Of Dying (Official),656,11495,245,"['sorry', 'art', 'of', 'dying', 'vices', 'virtues', 'rock', 'music', 'video', 'official', 'lyric', 'song', 'Music Video', 'art of dying', 'justin', 'coloma']",0,gyvyJ6SGhp4
467,Art Of Dying - Die Trying [Official Music Video],1335787,Art Of Dying (Official),1443,12050,105,"['art of dying', 'die trying', 'jonny hetherington', 'cale gontier', 'greg bradley', 'jeff brown', 'tavis stanley', 'music', 'vices and virtues', 'vices & virtues', 'intoxication', 'reprise', 'disturbed', 'rock', 'poker', 'rock music', 'warner bros records', 'wbr']",0,GFlVi9MHpDc
287,Sesame Street - Goodbye Mr. Hooper,1262865,TVBumpersCommercials,2292,8482,156,"['Mr. Hooper', 'Death', 'Big Bird', 'Grieving']",0,gxlj4Tk83xQ
179,Lee Fields - Faithful Man (Yours Truly Session),957256,Yours Truly,268,7595,77,"['faithful man', 'lee fields', 'lee fields and the expressions', 'truth and soul', 'r&b', 'soul', 'yours truly', 'live', 'session', 'interview', 'documentary', 'yourstruly', 'yourstru.ly', 'in studio', 'live music', 'lee', 'fields', 'faithful', 'man', 'truth', 'lee fields live', 'faithful man live', 'lee fields faithful man live', 'yours truly session']",0,94o5Lli-9gA
506,Elegant Centerpiece Ideas : Creative Centerpieces to Make,777705,essortment,127,3924,351,"['centerpiece ideas', 'elegant centerpiece ideas', 'making a centerpiece', 'candle centerpieces', 'elegant centerpieces', 'homemade centerpieces', 'how to make a centerpiece', 'table setting ideas', 'table decorations']",0,VO728ZnodiA
235,Lee Brice- Power of A Woman,750181,BMfan4eva,82,3676,77,"['Lee Brice', 'Power Of A Woman', 'Country Music']",0,qf_a2Ay6Kk4
480,Naruto- Rock Lee's Lotus Theme(Extended),622950,Steveshi Clayxui,383,2510,69,"['Naruto', 'Stevan535']",0,d1DPcDwdBcU
7,When The Levees Broke: A Requiem in Four Parts - Parts I and II.,583343,Dogeffa,1210,2634,154,"['Conspiracy', 'FEMA', 'When the Levees Broke', 'Disaster', 'Tragedy']",0,12xj1sHvIWA
501,Flight Characteristics of the North American P-51 Mustang: How to Fly the P-51 Fighter,458417,ZenosWarbirds,444,1402,47,"['World War 2 Fighter Planes', 'How to Fly the P-51', 'P-51', 'North American P-51 Mustang']",0,caJtGXMdxGM
181,SHINee's Onew sings BoA's Hurricane Venus,451029,Heaven Lee,336,4109,23,"['shinee', 'onew', 'boa', 'hurricane', 'venus']",0,ehh2GMCix-U
145,"YamCha ""Wolf Hurricane""",357369,YamCha Lee,567,2811,38,"['yamcha', 'wolf', 'hurricane', 'sokidan', 'dragon', 'ball', 'akira', 'toriyama', 'bulma', 'goku', 'fang', 'fist', 'tooru', 'furuya']",0,8kr7BKP5amM
239,How-To Skateboarding: Ollie Impossible with Lee Yankou,266678,RIDE Channel,204,2237,31,"['Skate', 'Skateboarding', 'Ride Channel', 'Ride', 'Tony Hawk', 'Lee Yankou', 'TAD', 'Trick-a-day', 'trick a day', 'trick tips', 'trick tip', 'how-to', 'instructional', 'skatepark', 'San Francisco', 'Stereo', 'Osiris International', 'Dakine', 'Indy', 'Performance Boardshop', 'CBMK Skatepark', 'Carlsbad Gap', 'ollie', 'ollie impossible', 'impossible']",0,R3CGHNqunGA
331,Trampoline rolling down street - Hurricane Bawbag,216326,gymkhanable,175,1011,16,"['Hurricane', 'bawbag', 'trampoline', 'rolling', 'down', 'street', 'wind', 'scotland', 'scottish', 'crazy']",0,U326Vm3XHFg
2,Spike Lees When The Levees Broke A Requiem in Four Parts Parts III and IV HBO HDTVgoat,215974,Dogeffa,409,1109,58,"['Spike', 'Lees', 'When', 'The', 'Levees', 'Broke', 'A', 'Requiem', 'in', 'Four', 'Parts', 'Parts', 'III', 'and', 'IV', 'HBO', 'HDTVgoat']",0,9vuQKo_uuKE
278,Wild Child - Cocaine Hurricane,198812,Major Nation,15,777,35,"['wild child cocaine hurricane', 'wild child', 'wild child austin', 'wild child band', 'wild child pillow talk', 'wild child sounds', 'alexander beggins', 'kelsey wilson', 'evan magers', 'sadie wolfe', 'major nation']",0,MgAgVWzX7hw
513,Tornadoes 101 | National Geographic,154914,National Geographic,61,378,32,"['101', 'national geographic', 'nat geo', 'natgeo', 'animals', 'wildlife', 'science', 'explore', 'discover', 'survival', 'nature', 'culture', 'documentary', '101 series', 'world lessons', 'tornadoes', 'hurricanes', 'how things work', 'world forces', 'experience', 'lessons 101', 'life lessons', '2011', 'destruction', 'storm damage', 'huge', 'storm', 'damage', 'destroy', 'tuscaloosa', 'alabama', 'funnel cloud']",0,pSajNLBH7cA
458,Dustin Lynch - She Cranks My Tractor (Lyric Video),125035,DustinLynchVEVO,33,545,34,"['DustinnLynch', 'Country', 'BBR Music Group', 'BBRMG', 'She Cranks My Tractor', 'Broken Bow Records']",0,bPx2CgZoCIc
352,Dustin Lynch- Hurricane,118519,hlsummer2011,15,582,24,"['dustin lynch', 'hurricane']",0,CcfIFS79--M
348,Dustin Lynch- Hurricane,118519,hlsummer2011,15,582,24,"['dustin lynch', 'hurricane']",0,CcfIFS79--M
470,Kaiser Chiefs - Modern Way (Official Video),104277,Kaiser Chiefs,22,538,8,"['Kaiser', 'Chiefs', 'Modern', 'Way', '(Official', 'Video)']",0,5DvxQZVfw2A
96,B.B. King and John Lee Hooker-'You Shook Me'-1993,83127,Tom Kane,36,764,1,"['bb king', 'john lee hooker', 'blues', 'blues summit', 'you shook me', 'delta blues']",0,BmEkRuODBpA
462,The Royal Concept 'In The End' [Acoustic],73816,The Royal Concept,68,817,4,"['the royal concept', 'gimme twice', 'gimmie twice', 'trc']",0,Z0MvH8XaPk4
