,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,HURRICANE MATTHEW IS ALMOST HERE! | We Are The Davises,4022555,We Are The Davises,8745,31245,1788,"['Top YouTube Families', 'Popular YouTube Families', 'Top Family Vloggers', 'Popular Family Vloggers', 'Best Family Vloggers', 'We Are The Davises', 'family channel', 'family vlogs', 'channels for kids', 'Daily family vlogs', 'daily family vloggers', 'daily family', 'Kids Channel', 'family entertainment', 'Connie', 'Shawn', 'Kayla', 'Tyler', 'Hurricane Matthew', 'Hurricane Matthew Florida', 'hurricane', 'Florida hurricanes', 'Hurricane Matthew skull', 'hurricane hits Florida']",0,qwrKSgN9Xks
1,Hurricane Matthew Meets Slayer,3591951,Lane Pittman,4839,50286,1888,"['lane pittman', 'hurricane matthew', 'slayer', 'florida man', 'emma watson', 'snapchat', 'lil duval', 'america', 'jacksonville', 'jax beach', 'turn up', 'hit me up', 'freedom', 'hurricane', 'category 3', 'october', 'viral']",0,Y8eL_DB-xBo
2,"Top 10 DEADLIEST Hurricanes of ALL TIME! (Hurricane Katrina, Hurricane Sandy)",2739764,Nexus,8172,50622,2300,"['nexus top 5', 'nexus', 'nexus top 10', '#HurricaneMatthew', '#Hurricane', 'Hurricane Florida', 'Hurricane Livestream', 'Hurricane South Carolina', 'Hurricane Georgia', 'Hurricane livestream', 'hurricane katrina', 'hurricane mitch', 'hurricane sandy', 'deadly hurricanes', 'bad hurricanes', 'hurricane videos', 'Hurricane mathew', 'Worst Hurricanes', 'survive a hurricane']",0,bafyc-hkArw
3,Urgent message from The Weather Channel for Those in the Path of Hurricane Matthew,2663890,The Weather Channel,4993,17691,1261,"['The Weather Channel', 'Weather Channel', 'Weather', 'Bryan Norcross', 'Hurricane', 'Hurricanes', 'Hurricane Matthew', 'Florida', 'Severe Weather', 'Extreme Weather', 'Evacuation']",0,JC18NUOLah0
4,SURVIVING HURRICANE MATTHEW (INSANE DAMAGE!),2531117,Trev and Chels,6018,34393,2144,"['hurricane', 'matthew', 'vlog', 'surviving a hurricane', 'hurricane matthew']",0,ygFZKLPNuWU
5,Shocking Videos Show The Reality of Not Evacuating In Midst of Hurricane Matthew,2365457,Inside Edition,2318,15767,738,"['shocking', 'shocking video', 'storm', 'Florida', 'caribbean', 'hurricane', 'Haiti', 'weather', 'Reality', 'devastating', 'video', 'hurricane matthew', 'inside edition']",0,zpg0bGDrC8s
6,"Shep ""Shepard"" Smith reveals the horrible truth behind Hurricane Matthew",2283747,Carl Weathers,4116,16620,2168,"['hurricane', 'matthew', 'shep smith', 'shepard smith', 'charlie pls', 'and your kids die too', '2spooky']",0,QYaH5nU1Ls0
7,HURRICANE MATTHEW...,2167566,M3RKMUS1C,6947,69829,616,"['hurricane', 'matthew', 'hurricane matthew', 'Hurricane', 'Matthew', 'Hurricane Matthew', 'HURRICANE', 'MATTHEW', 'HURRICANE MATTHEW', 'HURRICANE MATTHEW...', '...', 'm3rkmus1c', 'm3rkmus1c hurricane', 'm3rkmus1c matthew', 'm3rkmus1c hurricane matthew', 'hurricane m3rkmus1c', 'matthew m3rkmus1c', 'hurricane matthew m3rkmus1c', 'modern', 'warfare', 'remastered', 'modern warfare remastered', 'm3rkmus1c modern warfare remastered']",0,BdgqMnb1x44
8,PREPARING FOR HURRICANE MATTHEW!!!,2015482,KKandbabyJ,3162,24775,846,"['Pregnancy', 'teen mom', 'teen pregnancy', 'daily vlogs', 'family kids', 'babies', 'mommy', 'half asian', 'half white', 'drama', 'young', 'couple', 'pregnant', ""i'm pregnant"", 'hurricane matthew', 'natural disaster', 'category 4', 'category 3', 'hurricane', 'tornado', 'fire', 'power outage', 'electric out', 'no more water', 'grocery shopping', 'panic', 'target', 'walmart', 'dollar store', ""baby's first hurricane"", 'cnn', 'news', 'tragedy', 'tragic disaster', 'preparing for the storm', 'orlando florida']",0,MmiNL3llldM
9,"Hurricane Matthew kills 269, tears through Haiti, Bahamas, Cuba",1549299,World News,129,749,503,"['UFO', 'alien', 'ovni', 'Hillary', 'Clinton', 'trump', 'Obama', 'Kardashian', 'poutine', 'isis', 'Middleton', 'Cambridge', 'abduction', 'Giavedoni', 'Madonna', 'Rihanna', 'Guetta', 'extraterrestrial', 'Eminem', 'RAP', 'CaseyNeistat', 'FailArmy', 'vevo', 'RBC', 'mars', 'nasa', 'curiosity', 'spaceX', 'moon', 'LadyGaga', 'SQUEEZIE', 'crash', 'secret', 'invasion', 'CalvinHarris', 'Ariana', 'CalvinAriana', 'Lopez', 'tornado', 'terremoto', 'earthquake', 'secureteam10', 'discovery', 'Марс', 'НЛО', 'иностранец', '飛碟', '外僑', '火星', 'syria']",0,EngtD6-NhJU
