,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,"Florida Chaos, Hurricane Irma Traffic big like Hurricane Rita evacuation  #Irmageddon",1025400,Tony's - 24/7 Eyes,1544,1768,879,"['florida', 'irma', 'hurricane irma', 'miami', 'orlando']",0,DW5X9QkJGbw
1,Mastiksoul feat. David Anthony - Hurricane - Acoustic Version feat. Rita Guerra [HD],423658,MastiksoulTV,81,2463,27,"['Mastiksoul', 'David Anthony', 'Hurricane', 'Acoustic version']",0,Q1RjewFdeso
2,"Hurricane RITA - Key West, Florida - September 20, 2005",174783,Tropmet | Storm Chasing,56,172,12,"['Hurricane', 'Rita', 'Severe', 'Weather', 'Storms', 'Tropical', 'Cyclone', 'Typhoon', 'Florida', 'Hurricanes', '2005', 'Extreme', 'Wind', 'Meteorology', 'Disaster']",0,Kwehf-dwWJE
3,Last Live Video Of Katrina/Rita Hurricane 2005,159333,Jennifer Hebert,97,250,28,"['Katrina', 'Rita', 'Hurricane', 'Rare', 'New', 'Orleans', 'Mississippi']",0,LmSjW7C16T8
4,Rita Mitsouko - Histoires d'A | Florent Marchand vs Xam Hurricane | The Voice France 2018 | Duels,108223,The Voice : la plus belle voix,172,1447,78,"['Rita Mitsouko', ""Les histoires d'A"", 'Xam Hurricane', 'Florent Marchand', ""cover histoire d'amour"", 'cover rita mitsouko', 'saison 07', 'the voice 2018', 'the voice france', 'the voice france saison 7', 'the voice la plus belle voix', 'nikos aliagas', 'karine ferri', 'florent pagny', 'zazie', 'mika', 'pascal obispo', 'the voice france 7', 'the voice tf1', 'the voice', 'replay', 'tf1', 'tvlpbv', 'cover', 'the voice france 2018']",0,0YIAxhNWZGM
5,2005 Atlantic Hurricane Season Animation (Version 3),68834,Force Thirteen,232,264,10,"['2005', 'Atlantic', 'Hurricane', 'Season', 'Hurricane Dennis', 'Hurricane Katrina', 'Hurricane Emily', 'Hurricane Wilma', 'Hurricane Rita', 'Animation', 'Storm', 'Thunder', 'Lightning', 'Rain', 'Tornado', 'Weather', 'Disaster', 'Flood', 'Wind', 'Record']",0,APqqJNUwvE8
6,"Hurricane RITA (High Quality) - Key West, Florida - September 20, 2005",68205,Tropmet | Storm Chasing,68,188,6,"['Hurricane', 'Rita', 'Tropical', 'Cyclone', 'Storm', 'Category', 'Five', 'Three', 'Two', 'September', '2005', 'Florida', 'Keys', 'Key', 'West', 'Monroe', 'County', 'Southernmost', 'Point', 'Coastal', 'Strong', 'Intense', 'Extreme', 'Violent', 'Wind', 'Winds', '80', '90', '100', 'mph', 'Uprooted', 'Palm', 'Tree', 'Trees', 'Palms', 'Incredible', 'Heavy', 'Rain', 'Surge', 'Wave', 'Waves', 'Flood', 'Flooding', 'Historic', 'Record', 'Disaster', 'Catastrophe', 'Damage', 'Deadly', 'Landfall', 'Warning', 'Chase', 'Chasing', 'Chaser', 'Michael', 'Laca', 'HD', 'High', 'Quality', 'DVD', 'Video', '1080i', '1080p', 'BD', 'Blu', 'Ray']",0,GUO9wjvmgCM
7,Carnival Ecstasy,66324,gbrady88,5,23,5,"['carnival', 'ecstasy', 'cruise', 'storm', 'waves', 'rita']",0,0kaEGXr6Mqg
8,Hurricane Rita Footage,65242,Alex Craig,53,17,204,"['Hurricane', 'Rita', 'Footage']",0,_gtnxM0Dy30
9,TWC Hurricane Rita coverage 2005: Clip 3,55089,Dj0287,55,53,3,"['TWC', 'Hurricane', 'Rita', '2005']",0,hjDmG9xOjk0
10,Hurricane RITA,50790,STRINGERSonline,25,87,3,"['reality', 'hurricane', 'airplane', 'hunter', 'news', 'horror', 'weather', 'hd', 'photojournalist', 'adventure', 'action']",0,TQascLq1QwM
11,"Hurricane Rita, Houston Texas Evacuation, Port Arthur and Beaumont TX, Storm Damage Video.",46892,StormChasingVideo,52,88,8,"['Hurricane Rita', 'Beaumont TX', 'Port Arthur', 'Texas', 'TX', 'hurricane', 'Severe', 'Weather', 'Storms', 'Tropical Cyclone', 'Typhoon', 'storm', 'suge', 'landfall', 'damage', 'news', 'Hurricanes', '2005', 'Extreme', 'Wind', 'BNVN', 'StormChasingVideo.com', 'Storm Chasers', 'Hurricane Chasing']",0,LsrmnpNkPME
