,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,Sandy_ConEd Explosion - Hurricane Sandy,8257073,TrillianMedia,0,5864,1526,"['Sandy', 'ConEd', 'Explosion', '\\Hurricane Sandy\\']",0,ZAqYZ433TeQ
1,SandyTL Time-Lapse of Sandy Hitting NYC,5860386,SMvideoChan,1847,6993,1327,"['Sandy', 'Hurricane', 'NYC', 'Storm', 'Time lapse', 'Time-Lapse']",0,PyohW9rYEKc
2,"Top 10 DEADLIEST Hurricanes of ALL TIME! (Hurricane Katrina, Hurricane Sandy)",2739764,Nexus,8172,50622,2300,"['nexus top 5', 'nexus', 'nexus top 10', '#HurricaneMatthew', '#Hurricane', 'Hurricane Florida', 'Hurricane Livestream', 'Hurricane South Carolina', 'Hurricane Georgia', 'Hurricane livestream', 'hurricane katrina', 'hurricane mitch', 'hurricane sandy', 'deadly hurricanes', 'bad hurricanes', 'hurricane videos', 'Hurricane mathew', 'Worst Hurricanes', 'survive a hurricane']",0,bafyc-hkArw
3,Coco & Hurricane Sandy,2726837,cocosworld,1509,3244,1097,"['Coco', 'cocosworld', 'hurricane sandy', 'boobs', 'twitter', 'weather']",0,g_iYTwPdkeY
4,"Hurricane Sandy's Intensity Fluctuates, Threatens East Coast States",2319209,ABC News,2382,1427,345,"['hurricane sandy nyc', 'hurricane sandy downgrade', 'tropical storm sandy', 'hurricane sandy north carolina', 'hurricane sandy east coast', 'hurricane sandy jamaica', 'hurricane sandy video', 'hurricane sandy youtube', 'hurricane sandy florida', 'hurricane sandy cuba', 'inter']",0,tETbvybF7Jg
5,Hurricane Sandy: Super Storm Slams East Coast States,2058119,ABC News,2356,2482,436,"['hurricane sandy nyc', 'hurricane sandy downgrade', 'tropical storm sandy', 'hurricane sandy north Carolina', 'hurricane sandy east coast', 'hurricane sandy Jamaica', 'hurricane sandy video', 'hurricane sandy youtube', 'hurricane sandy Florida', 'hurricane sandy Cuba', 'hurricane sandy live stream', 'state of emergency', 'New York', 'Delaware', 'New Jersey', 'Center of the storm', 'Virginia', 'Pennsylvania', 'North Carolina', 'evacuation warnings', 'building collapses', 'hurricane damage video', 'rescue efforts', 'emergency workers']",0,YeutC1WN6dc
6,Rescue of HMS Bounty during Hurricane Sandy,1362222,U.S. Coast Guard,584,2513,166,"['hurricane', 'sandy', 'rescue', 'bounty', 'hms', 'tallship', 'search and rescue', 'coast guard', 'uscg', 'U.S. Coast Guard', 'frankenstorm', 'sink', 'sinking', 'sail', 'sailing', 'Mutiny on the Bounty', 'storm', 'storms', 'hurricanes', 'massive', 'North', 'Carolina', 'aviation', 'pilot', 'pilots', 'rescue swimmer', 'rescue swimmers', 'aircrew', 'air', 'crew', 'helicopter', 'helicopters', 'Ocean']",0,UDlc1slA8PA
7,Hurricane Sandy: Cruise Ships Weather the Storm,1327591,ABC News,317,921,214,"['hurricane sandy', 'perfect storm', 'hurricane sandy path', 'hurricane sandy update', 'hurricane sandy tracker', 'hurricane sandy 2012', 'hurricane sandy 2006', 'perfect storm movie', 'perfect storm 2012', 'frankenstorm', 'frankenstorm 2012', 'hurricane sandy obama', 'hurricane sandy mitt romney']",0,cjpDE688CL8
8,Aerial View of New Jersey Coast Line After Hurricane Sandy from the National Guard,1324133,NationalGuard,697,629,274,"['national guard', 'national', 'guard', 'army', 'air', 'military', 'troops', 'soldier', 'airman', 'airmen', 'soldiers', 'u.s.']",0,sRAdgh9VH0o
9,Late Night with Jimmy Fallon Hurricane Sandy Cold Open + Monologue (Late Night with Jimmy Fallon),1284611,The Tonight Show Starring Jimmy Fallon,725,7485,176,"['jimmy fallon', 'late night with jimmy fallon', 'mitt romney', ""mitt romney's neighborhood"", 'nbc', 'jimmy', 'fallon', 'late', 'night', 'funny', 'talk', 'show', 'nbc show', 'comedic', 'humor', 'stand-up', 'snl', 'fallon stand-up', 'Fallon monologue', 'entertainment', 'jokes', 'funny video', 'stand up', 'interview', 'variety', 'latenight', 'comedy sketches', 'A list talent', 'talk show', 'host', 'musical performances', 'music', 'Comedy (TV Genre)', 'hurricane sandy', 'nyc', 'streets', 'empty', 'audience']",0,y-oQrDhqhTI
10,HURRICANE SANDY 3 TREES FALL AND FIRE!!,1152592,imasharky,1739,3079,258,"['Hurricane', 'Sandy', 'Trees', 'Fall', 'Imasharky']",0,OZlZUsqkVx8
