,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,2005 Atlantic Hurricane Season Animation (Version 3),68834,Force Thirteen,232,264,10,"['2005', 'Atlantic', 'Hurricane', 'Season', 'Hurricane Dennis', 'Hurricane Katrina', 'Hurricane Emily', 'Hurricane Wilma', 'Hurricane Rita', 'Animation', 'Storm', 'Thunder', 'Lightning', 'Rain', 'Tornado', 'Weather', 'Disaster', 'Flood', 'Wind', 'Record']",0,APqqJNUwvE8
1,Retired Hurricanes of the 2000's,57655,Storm Shield App,338,355,7,"['storm shield app', 'weather', 'storm shield', 'Tropical Cyclone (Disaster Type)', 'Hurricane Katrina (Tropical Cyclone)', 'hurricane', 'Tropical Cyclone Naming', 'Hurricane Rita (Tropical Cyclone)', 'Hurricane Frances (Tropical Cyclone)', 'Hurricane Ike (Tropical Cyclone)', 'Hurricane Noel (Tropical Cyclone)', 'Hurricane Wilma (Tropical Cyclone)', 'Hurricane Dennis (Tropical Cyclone)', 'Hurricane Ivan (Tropical Cyclone)', 'Hurricane Charley (Tropical Cyclone)', '2000', 'Year 2000', ""00's""]",0,6_-og3zDB1o
2,2005 What-might-have-been Atlantic Hurricane Season,31635,Force Thirteen,272,183,17,"['2005 WMHB', '2005 Atlantic Hurricane Season', 'Hurricane Don', 'Hurricane Emily', 'Hurricane Lenny', 'Hurricane Philippe', 'Hurricane Rita', 'Hurricane Stan', 'Hurricane Vince', 'Hurricane Gamma', 'Hurricane Epsilon', 'Hurricane Zeta', 'Hurricane Katrina']",0,a-psLMKzQUs
3,TAPACHULA Hurricane Stan 2005,22208,JArrevillaga,7,30,3,"['Huracan', 'Tapachula', 'Stan', 'Daños', 'Damage', 'Hurricane', 'Chiapas', 'México']",0,gjyWByKPYpw
4,American Dad! Hurricane! Stan Tries to Kill Shark and Bear with healthbars,21265,Thomas the Healthbars Guy,0,65,11,['American Dad! Hurricane! Stan Tries to Kill Shark and Bear with healthbars'],0,MgbxDXBPbn8
5,Guatemala Red Cross response to hurricane Stan (2005),11113,IFRC,0,6,1,"['Red', 'Cross', 'International', 'Crescent', 'IFRC', 'Disaster', 'Relief', 'Preparedness', 'Health', 'Humanitarian', 'Assistance', 'Volunteers', 'Humanity']",0,OneN412UKj4
6,"Hurricane Stan Peluzin ""NO LOS OLVIDEN"" Huracan STAN",10145,robriosvides,1,6,1,"['Huracan', 'STAN', 'PELUZIN', 'Hurricane', 'ASTRO', 'SATELITE', 'Music', 'nonprofit']",0,iVTPUDEtfLQ
7,"Top 5 Deadliest Hurricane Viewed From Space,Hurricane Seen From Space Station",1917,Cloudman India,1,13,3,"['Top 5 DEADLIST Hurricanes Viewed From Space', 'Hurricane Seen From Space Station', 'Kalpana chawla story ! How Kalpana Chawla Died ?? Kalpana chawla death video', 'kalpana chawla space shuttle crash', 'hurricane', 'hurricane katrina', 'hurricane from outer space', 'hurricane from space video', 'hurricane katrina from space', 'hurricane from space station', 'hurricane from iss', 'hurricane from international space station', 'hurricane from space', 'hurricane from satellite', 'hurricane seen from space']",0,p-gB5fT9BTg
8,Global Vision International/Hurricane Stan,1701,ngolon,0,3,0,"['Guatemala', 'Global', 'Vision', 'International']",0,R2FbgeqJc48
9,Hurricane Stan,888,HurricaneGuy297,2,1,0,['Hurricane'],0,mXb5Q3_T_U8
10,Hurricane Stan in Guatemala,858,David Valls,0,4,1,['__UNKNOWN__'],0,1-1Bc8rLEIc
11,Regrowth (Hurricane Matthew Documentary),615,Bootleg Productions,0,9,0,"['Hurricane Matthew', 'Matthew', 'Hurricane', 'Savannah Georgia', 'Hilton Head', 'Bootleg', 'Productions', 'Bootleg Productions', 'Savannah', 'History', 'Historical', 'category 5', 'atlantic', 'deadly', 'storm', 'downtown', 'historic district', 'Regrowth', 'Hilton', 'Community', 'Charity', 'Help', 'Pull together', 'emergency', 'catastrophe', 'tree', 'trees', 'grow', 'growth', 'canopy', 'pine', 'oak', 'Patrick Rippman', 'Patrick', 'Rippman', 'Prippman']",0,wx72hDGlmRY
12,Hurricane Stan and Lake Atitlán,345,spacyway,0,1,0,['googlevideo'],0,pWMrRvU5Ka0
13,2005 Atlantic hurricane season,280,Audiopedia,0,1,0,['__UNKNOWN__'],0,WbpaOBvM4-o
14,Hurricane - Stan Phillips,171,Scotia195,0,0,0,['M4H04356'],0,isX_eP4jjk8
15,Hurricane Stan Top # 10 Facts,156,Divyam Sooraj,0,1,0,['__UNKNOWN__'],0,uqG7wHl3z6Q
16,CENTRAL RAIN - Hurricane Stan,136,Central Rain,0,1,0,"['Music', 'Rock Music', 'Indie Rock', 'Alternative Rock', 'Australian Music']",0,AFDsC9MjvJw
17,Floods after hurricane Stan,134,AP Archive,0,0,0,"['AP Archive', '463442', '72ca39201d2510ff3a244c26aacde752', 'Guatemala Floods', 'Guatemala', 'Central America', 'Guatemala City', 'Latin America and Caribbean', 'General news']",0,jolYq42v-FE
18,History of the Yabal communities after Hurricane Stan,99,Yabal Handicrafts,0,1,0,"['fair trade', 'ethical fashion', 'sustainable', 'sustainable community development', 'guatemala', 'sustainable fashion', 'social enterprise', 'womens empowerment', 'women', 'women business', 'quetzaltenango', 'xela', 'community development', 'indigenous', 'maya', 'hurricane stan', 'disaster relief']",0,xhl-4Hj0_gk
19,Hurricane Stan,86,Norma Ortiz Ramos,0,0,1,['__UNKNOWN__'],0,QMzOhM4HGtY
20,Hurricane Stan,26,Liz Morales Ramos,2,0,0,['__UNKNOWN__'],0,Ybc05d5woVU
21,My Oceans Project-Hurricane Stan,25,Abby Jane,0,0,0,['__UNKNOWN__'],0,lzt1fWL5Lts
22,Hurricane Matthew At Golden Creek Community,20,charles kinney,0,0,0,"['iMovie', 'hurricane matthew', 'severe weather', 'storm chasing', 'flooding', 'severe flood waters', 'hurricanes and cyclones']",0,Cq62Soxo4AQ
23,Hurricane Stan,20,MarLeeHistory,0,0,0,['__UNKNOWN__'],0,6s3YwGHltCM
24,2017 Atlantic Hurricane Season Animation,17,Hurricane Stan,0,0,0,['__UNKNOWN__'],0,mxvzDlqpFcI
25,The WORST HURRICANES of HISTORY,14,EPIC-S,0,0,0,"['curiosities', 'hurricanes', 'worst hurricanes', 'deaths', 'hurricane mitch', 'hurricane jeanne', 'hurricane gordon', 'hurricane katrina', 'hurricane stan', 'hurricane george', 'hurricane pauline', 'hurricane sandy', 'hurricane felix', 'hurricane wilma', 'world', 'awesome', 'epic-s', 'hurricane compilation', 'history', 'worst hurricanes in history', 'hurricane', 'stunning videos', 'curiosity videos', 'videos', 'impressive videos', 'shock', 'natural videos']",0,XQfyv-MVJS4
26,Hurricane Stanley Smashing The Caribbean,10,Dplayz,4,1,0,['__UNKNOWN__'],0,NDNJGmjVUvk
27,American Dad! Stan Makes Bad Decisions Part 2,1,HavanaMiddle,0,0,0,"['dad', 'part', 'american']",0,d4jDyMu6FxY
