,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
0,"Hurricane Wilma Video - Miami Beach, Florida",3558101,Ultimate Chase,2039,6672,908,"['hurricane', 'video', 'wind', 'extreme', 'wilma', 'strongest', 'history', 'cyclone', 'tropical', 'eyewall', 'miami', 'beach', 'florida', 'mike', 'theiss', 'ultimate', 'chase', 'footage', 'hurricane force']",0,QDFK40UMotc
1,"Hurricane WILMA - Southern Florida - October 24, 2005",1073772,Tropmet | Storm Chasing,573,1011,59,"['Hurricane', 'Wilma', 'Severe', 'Weather', 'Storms', 'Tropical', 'Cyclone', 'Typhoon', 'Florida', 'Hurricanes', '2005', 'Extreme', 'Wind', 'Michael', 'Laca']",0,-JuQDsDJZ-I
2,"Hurricane WILMA (High Quality) - Belle Meade, Florida - October 24, 2005",279110,Tropmet | Storm Chasing,197,695,49,"['Hurricane', 'Wilma', 'Tropical', 'Cyclone', 'Storm', 'Category', 'Five', 'Three', 'October', '2005', 'Southwest', 'Florida', 'Belle', 'Meade', 'Naples', 'Marco', 'Island', 'Miami', 'Collier', 'Dade', 'Broward', 'Monroe', 'County', 'Coastal', 'Strong', 'Intense', 'Extreme', 'Violent', 'Wind', 'Winds', '100', '110', '120', 'mph', 'Uprooted', 'Palm', 'Tree', 'Trees', 'Palms', 'Incredible', 'Heavy', 'Rain', 'Surge', 'Wave', 'Waves', 'Flood', 'Flooding', 'Historic', 'Record', 'Disaster', 'Catastrophe', 'Damage', 'Deadly', 'Landfall', 'Warning', 'Chase', 'Chasing', 'Chaser', 'Michael', 'Laca', 'HD', 'Quality', 'DVD', 'Video', '1080i', '1080p', 'BD', 'Blu', 'Ray']",0,siHQgN6iFRk
3,Ship set on land by hurricane Wilma in Cancun is moved!,173567,PrincetonFitness,10,8,54,"['Cancun', 'Mexico', 'hurricane', 'ferry']",0,Fn34XH3f3UQ
4,Playa del Carmen during Hurricane Wilma,148697,Steve Moen,39,83,6,"['playa', 'del', 'carmen', 'hurricane', 'wilma', 'beach', 'mamitas', 'mexico']",0,e_vtA4o5I9E
5,Lost on havoc TV Hurricane Wilma Waves,133885,cheetahlounge,17,149,41,"['Surfing', 'music', 'action', 'sports', 'hurricane', 'waves']",0,1pCirfUZBPc
6,Hurricane Wilma Cancun Mexico,127259,vipintelligence,31,79,16,"['Mexico', 'Cancun', 'Hurricane', 'Wilma', 'Party', 'Videos', 'Disasters', 'Sex', 'Music', 'Sports', 'Comedy', 'People']",0,ljTudLf7WtA
7,Carnival Cruise Fascination Hurricane Wilma Oct 2005,126093,Franco Marcantonio,24,24,6,"['cruise', 'ship', 'carnival', 'fascination', 'hurricane', 'wilma', 'caribbean']",0,Zxza_YvDBog
8,Hurricane Wilma Adventure,118226,007sharkattack,78,489,45,"['Hurricane', 'storm', 'extreme', 'disaster']",0,W88A7fSb33I
9,hurricane  wilma from the ship,86349,bracamon07,9,20,8,"['comedy', 'people']",0,W3GaHoi1Utw
10,Hurricane WILMA - Close-Up Visible Satellite Loop,68961,Tropmet | Storm Chasing,25,34,1,"['Hurricane', 'Wilma', 'Severe', 'Weather', 'Storms', 'Tropical', 'Cyclone', 'Hurricanes', '2005', 'Extreme', 'Disaster', 'Visible', 'Satellite', 'Loop']",0,m6WYphi_LhA
11,Hurricane Wilma The Untold Story,67299,Paul Hansen,59,289,21,"['Hurricane', 'Hurricane Wilma (Tropical Cyclone)', 'HurricaneWilma-The Untold Story', 'Key West (City/Town/Village)', 'Tropical Cyclone (Disaster Type)']",0,wL2nUepKfMQ
