,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
502,Reba McEntire - Fancy,19748607,RebaMcEntireVEVO,3556,117246,6307,"['Reba', 'McEntire', 'MCA', 'Nashville', 'Country']",0,zplc4Ienkws
503,Reba McEntire - Does He Love You ft. Linda Davis,10468996,RebaMcEntireVEVO,1394,49187,2178,"['Reba', 'McEntire', 'Geffen', 'Country']",0,FUP9DnurODw
506,Vince Gill - I Still Believe In You,8566740,VinceGillVEVO,1501,41527,1669,"['Vince', 'Gill', 'MCA', 'NASHVILLE', 'Country']",0,baOz601--b0
504,Reba McEntire - The Night The Lights Went Out In Georgia,8226116,RebaMcEntireVEVO,1482,44242,1798,"['Reba', 'McEntire', 'MCA', 'Nashville', 'Country']",0,Z4GMUlCBgd0
505,"Reba McEntire, Vince Gill - The Heart Won't Lie",8070025,RebaMcEntireVEVO,1056,40712,1255,"['Reba', 'McEntire', 'Vince', 'Gill', 'MCA', 'NASHVILLE', 'Country']",0,YL-hSSZn5Pc
500,Dolly Parton - Rockin' Years,4751678,DollyPartonVEVO,702,27095,1167,"['9 to 5', 'Columbia Nashville', 'Country', 'Dolly Parton with Ricky Van Shelton', ""Rockin' Years"", 'Sony', 'acoustic', 'album', 'blue smoke', 'coat of many colours', 'cover', 'dolly parton', 'dolly parton and ricky van shelton', 'dolly parton songs', 'download', 'george jones', 'hd', ""he's alive"", 'here you come again', 'hq', 'i will always love you', 'islands in the stream', 'jolene', 'karaoke', 'kenny rodgers', 'live', 'lyrics', 'music', 'music video', 'official', 'official video', 'remix', 'ricky', 'van']",0,CqN7N9-AHXs
501,Romeo,3167281,DollyPartonVEVO,498,17410,695,"['9 to 5', 'Columbia Nashville', 'Country', 'Dolly Parton with Billy Ray Cyrus', 'Tanya Tucker', 'Mary Chapin Carpenter', 'Kathy Mattea', 'Pam Tillis', 'Romeo', 'Sony', 'acoustic', 'album', 'blue smoke', 'coat of many colours', 'cover', 'dolly parton', 'dolly parton romeo', 'dolly parton songs', 'download', 'hd', ""he's alive"", 'here you come again', 'hq', 'i will always love you', 'islands in the stream', 'jolene', 'karaoke', 'kenny rodgers', 'live', 'lyrics', 'music', 'music video', 'official']",0,afF3XHW7mZ4
8,"Extreme Video of Hurricane Dolly from Port Mansfield, Texas!",45204,Reed Timmer,48,91,8,"['hurricane', 'dolly', 'South', 'Padre', 'Island', 'Texas', 'Port', 'Mansfield', 'July', '23', '2008', 'video', 'footage']",0,y_cKlqxbnAU
507,LAYZis - Disappears (Music Video short),25065,LAYZis OFFICIAL,2,31,0,"['layzis', 'レイジス', 'ヴィジュアル系', 'v系']",0,G5QRrppzQ6k
36,HURRICANE DOLLY WATCH THIS!!!,23030,ImTecho,6,17,10,"['HURRICANE', 'DOLLY', 'STORMS', 'VALLEY', 'EDINBURG', 'PHARR', 'MCALLEN', 'BROWNSVILLE', 'HARLINGEN', 'TX', 'TORNADO']",0,Ex9eFxSXDFA
1,"Hurricane Dolly hits Harlingen, TX",21538,dmise,54,57,10,"['hurricane', 'dolly', 'harlingen', 'texas', 'tx', 'home', 'depot']",0,g-rTl0YVXo4
18,"Hurricane Dolly hits Harlingen, TX (the madness!)",20586,dmise,22,32,3,"['hurricane', 'dolly', 'harlingen', 'tx', 'texas', 'damage', 'high', 'winds', 'flooding', 'heavy', 'rain']",0,fHW-xcGM_ho
372,"Storm Surge from Hurricane Dolly slams the coast of South Padre Island, Tx",20445,TheJammaNetwork,15,15,11,"['Weather', 'awesome', 'water', 'storm', 'hurricane', 'texas', 'dolly', 'beach', 'beautiful', 'nature', 'ocean', 'news', 'jamma', 'jen', 'south', 'padre', 'island', 'kgbt4', 'harlingen', 'wild', 'surge']",0,PH_mV2cdM3I
0,"Hurricane DOLLY in Port Isabel, TX (2008)",19087,iCyclone,21,76,1,"['hurricane', 'dolly', 'Dolly', 'Port', 'Isabel', 'Texas', '2008', 'chase', 'chaser', 'chasing', 'iCyclone', 'icyclone', 'weather', 'storm', 'footage', 'USA', 'hurricane dolly', 'hurricane dolly chase', 'hurricane chase', 'hurricane chaser', 'hurricane chasing']",0,Hmb8VyC4FNg
