,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
5,Rescuing Hurricane Victims From Their Homes...,10042525,Jake Paul,100447,580331,29212,"['Jake', 'Paul', 'logan', 'paul', 'its', 'every', 'day', 'Team', '10', 'bro', 'funny', 'wow', 'crazy', 'vlog', 'adventure', 'disney', 'channel', 'girls', 'vine', 'hot', 'cool', 'fun', 'team', 'lucas', 'marcus', 'dobre', 'actor', 'star', 'daily', 'brothers', 'bizaardvark', 'tv', 'los', 'angeles', 'hollywood', 'sexy', 'comedy', 'skits', 'instagram', 'facebook', 'logang', 'jakepaulers', 'family', 'friendly', 'pg', 'kids', 'tai', 'lopez', 'erika', 'costell', 'evacuation', 'victims', 'homes', 'water', 'flood', 'harvey', 'hurricane', 'disaster', 'wether', 'tornado']",0,0gWnxLo4XAE
558,"Tucker Carlson Tonight - April 26, 2018 - FoxNews",6762184,Mr. Kate,12782,368807,2374,"['liza koshy', 'liza koshy collab', 'liza koshy bedroom', 'guest bedroom', 'guest bedroom design', 'houston', 'houston themed', 'map mural', 'DIY wall mural', 'wall mural', 'mid century bedroom', 'mid century design', 'mid century decor', 'mid century bohemian', 'minimalist bohemian', 'neutral bedroom', 'neutral decor', 'interior design', 'DIY interior design', 'DIY home decor', 'home decor', 'mr kate', 'mr. kate', 'mister kate', 'mrkate', 'kate albrecht', 'joey zehr']",0,_OR3G71IAUo
557,Liza Koshy's Houston Love Bedroom Makeover | OMG We're Coming Over | Mr. Kate,6762184,Mr. Kate,12782,368807,2374,"['liza koshy', 'liza koshy collab', 'liza koshy bedroom', 'guest bedroom', 'guest bedroom design', 'houston', 'houston themed', 'map mural', 'DIY wall mural', 'wall mural', 'mid century bedroom', 'mid century design', 'mid century decor', 'mid century bohemian', 'minimalist bohemian', 'neutral bedroom', 'neutral decor', 'interior design', 'DIY interior design', 'DIY home decor', 'home decor', 'mr kate', 'mr. kate', 'mister kate', 'mrkate', 'kate albrecht', 'joey zehr']",0,O2snku5Iuyg
114,FANS SAVING HURRICANE HARVEY VICTIMS (incredible),4847238,Jake Paul,43390,259495,30229,"['Jake', 'Paul', 'logan', 'paul', 'its', 'every', 'day', 'Team', '10', 'bro', 'funny', 'wow', 'crazy', 'vlog', 'adventure', 'disney', 'channel', 'girls', 'vine', 'hot', 'cool', 'fun', 'team', 'lucas', 'marcus', 'dobre', 'actor', 'star', 'daily', 'brothers', 'bizaardvark', 'tv', 'los', 'angeles', 'hollywood', 'sexy', 'comedy', 'skits', 'instagram', 'facebook', 'logang', 'jakepaulers', 'family', 'friendly', 'pg', 'kids', 'tai', 'lopez', 'erika', 'costell', 'saving', 'help', 'in', 'need', 'families', 'disaster', 'natural', 'hurricane', 'lost', 'homes', 'harvey', 'tornado', 'weather']",0,0KK3m-bRBCM
577,Liza Koshy's Dream Office Makeover | OMG We're Coming Over | Mr. Kate,4440044,Mr. Kate,8626,237176,1486,"['home office', 'home office makeover', 'liza koshy office', 'liza koshy tour', 'liza koshy home', 'liza koshy collab', 'office design', 'office makeover', 'built in shelves', 'DIY built in shelves', 'DIY wire art', 'DIY wall art', 'DIY home decor', 'DIY interior design', 'home decor', 'interior design', 'bohemian design', 'bohemian decor', 'bohemian office', 'mr. kate', 'mr kate', 'mrkate', 'mister kate', 'kate albrecht', 'joey zehr']",0,PPg1gN_ey2o
40,"Hawk hides from Hurricane Harvey in taxi, refuses to leave",4095253,IBTimes UK,6388,67607,1195,"['Hurricane Harvey', 'harvey hurricane hawk', 'texas hurricane', 'u.s. emergency warning']",0,4Jjh2XdpQYE
46,Miley Cyrus Moved To Tears Over Hurricane Harvey,2607381,TheEllenShow,6704,48744,4898,"['hurricane harvey', 'spca', 'harvey path', 'hurricane harvey path', 'texas hurricane', 'houston', 'red cross', 'the red cross', 'ellen', 'degeneres', 'ellen degeneres', 'the ellen show', 'ellentube', 'ellen fans', 'hurricane harvey update', 'american red cross', 'salvation army', 'hurricane harvey relief', 'miley cyrus', 'miley', 'hannah montana']",0,IKk_XpcS9ok
346,"Trump Ends DACA, Responds to Hurricane Harvey: A Closer Look",2567032,Late Night with Seth Meyers,4834,29203,2544,"['late night', 'seth meyers', 'late night with seth meyers', 'jake tapper', 'gwendoline christie', 'top of the lake', 'gary clark jr.', 'closer look', 'daca', 'trump', 'hurricane harvey', 'NBC', 'NBC TV', 'television', 'funny', 'talk show', 'comedy', 'stand-up', 'parody', 'snl seth meyers', 'seth', 'meyers', 'weekend update', 'news satire', 'challenges', 'threats', 'americans', 'aftermath', 'hurricane', 'tiny hands', 'hands too big', 'thank you', 'turnout', 'crowd', 'a wonderful thing', 'prayer', 'a gift', 'helicopters', 'rescue', 'media', 'sessions', 'dreamers', 'difficult', 'mcconnell']",0,qWFydl-nFsw
109,"Thanks to Hurricane Harvey, the ""Dealmaker President"" Finally Makes a Deal: The Daily Show",2103889,The Daily Show with Trevor Noah,2328,29867,895,"['the daily show', 'trevor noah', 'daily show with trevor noah', 'new trevor noah show', 'comedy central politics', 'the daily show episodes', 'Thanks to Hurricane Harvey', 'the', 'late night talk show hosts', 'comedy central', 'stand up comedy', 'comedians', 'comedy central comedians', 'comedy', 'funny', 'comedian', 'funny video', 'comedy videos', 'stand up videos', 'funny jokes', 'funny clips', 'hilarious videos', 'hilarious clips']",0,tX7why_IWsk
19,Family Brings Baby Cow Into Their Home During Hurricane | The Dodo: Comeback Kids S02E01,2079657,The Dodo,4775,57735,869,"['animal video', 'animals', 'the dodo', 'Animal Rescue', 'baby cow', 'baby cow rescue', 'cow dog', 'cow and dog friends', 'cow', ""cow thinks it's a dog"", ""cow thinks it's a puppy"", ""cow thinks she's a dog"", 'cow videos kids', 'funny cow', 'puppycow', 'hurricane harvey', 'hurricane harvey pet rescue', 'hurricane cow', 'hurricane cow rescue', 'Harveigh', 'Harveigh the cow', 'comeback kids the dodo', 'comeback kids cow', 'cow in house', 'cow opens door', 'cow video', 'cow and dog playing', 'comeback kids', 'harvey cow', 'dodo cow']",0,K4jIAdAUjHc
