,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
470,"U2 and Green Day ""The Saints Are Coming"" video",14838674,vidsquare,8168,47324,2761,"['U2', 'Green', 'Day', 'greenday', 'saints', 'are', 'coming', 'hurricane', 'katrina', 'new', 'orleans']",0,seGhTWE98DU
5,Bush Doesn't Care About Black People,10340858,Shockroc1,17408,52299,3647,"['VirtuosoTheGod', 'Kanye', 'West', 'Bush', 'black', 'people', 'Katrina', 'Red', 'Cross', 'President', 'Mike', 'Myers', 'Hurricane', 'relief', 'outburst', 'hates', 'calssic', 'new', 'orleans', 'hurricane', 'politics', 'kanye west', 'economy', 'finance', 'race', 'mike', 'george', 'speak', 'blacks', 'tucker', 'dari', 'michael', 'chris', 'kanye', 'katrina', 'myers', 'west', 'obama', 'bush', 'fynne', 'moron', 'africa', 'racist', 'whites']",0,zIUzLpO1kxI
321,Comic Relief 2006 - Dane Cook,2916469,Chris Everest,2663,8460,1445,"['Live', 'Television']",0,ZFsXv9Lc-F8
1,Hurricane Katrina: Extreme Video,2371748,herby,1249,2301,325,"['Hurricane', 'Katrina', 'Storm', 'Chaser', 'Extreme', 'Video']",0,s76Qn7bpCsQ
2,"Reverend Timothy Wright - Jesus, Jesus, Jesus (Katrina Song)",1937422,SPEEK LYFE TV,815,10901,428,"['Reverend', 'Timothy', 'Wright', 'Jesus', 'Hurricane', 'Katrina', 'Song']",0,s9oyFp20YZ0
102,George Bush Hates Black People,1590130,aaronweaver17,4674,4370,403,"['George', 'Bush', 'Kanye', 'West', 'Hurricane', 'Mike', 'Myers', 'Black', 'People']",0,PDMyArnIdzY
98,George Bush Hates Black People,1590130,aaronweaver17,4674,4370,403,"['George', 'Bush', 'Kanye', 'West', 'Hurricane', 'Mike', 'Myers', 'Black', 'People']",0,PDMyArnIdzY
373,Comic Relief 2006 - Sarah Silverman,1179469,Chris Everest,920,4056,342,"['Live', 'Television']",0,7ZOp8BKaccs
123,Hurricane Katrina: TRAILER for The Drive,946541,TRyanNOVAC,164,543,321,"['Hurricane', 'Katrina:', 'NOVACDOC', 'NOVAC', 'Orleans', 'The', 'Drive', 'Ryan', 'Documentary', 'Obama', 'McCain', 'Gustov']",0,L-QIiZXW1RE
404,Creepy Katrina video,922378,nsykadick,347,245,482,"['kville', 'Kadick', 'Katrina', 'best', 'video', 'ever', 'New', 'Orleans', 'destruction', 'flood', 'storm', 'ninth', 'ward', 'scary', 'lake', 'view', 'creepy']",0,yB33kPIhBkc
66,I Told the Storm(Hurricane Katrina),881350,yellabwa,226,2168,51,"['katrina', 'hurricane', 'gospel', 'slide', 'show']",0,e3Gb1KXfGc0
13,Hurricane Katrina,851267,lilspoiledazn,1055,1337,117,"['hurricane', 'katrina']",0,pvoEiBnpCc8
340,The Katrina Video Congress Didn't Want You To See,834508,Kevin Aylward,781,1194,156,"['Katrina', 'Leeve', 'Collapse']",0,epwpnMztkM0
0,Hurricane KATRINA from satellite,826250,siajaver,366,446,142,"['hurricane', 'katrina', 'awesome', 'incredible', 'video', 'disaster']",0,_SLXYRJnYm0
11,hurricane katrina banned footage,824607,chokes01,769,642,245,"['hurricane', 'katrina', 'banned']",0,Gtkuqf1w2Gc
61,Hurricane Katrina,674620,pcampo,647,1170,85,['katrina'],0,_yd5WreHxPg
75,Hurricane Katrina,654949,xrentfn1x,157,250,246,"['Hurricane', 'Katrina']",0,jCjt_5GMUi4
30,"Celine Dion on Larry King September 3, 2005",546486,Erin English,106,1301,91,"['Celine', 'Dion', 'Larry', 'King', 'Hurricane', 'Katrina']",0,QXD4BGvPngM
341,Kanye West (Bush claim),520036,mtb9,811,892,107,"['Kanye', 'West']",0,JO1j77mo6Vc
85,Hurricane Katrina,493004,Lizz M,215,337,287,"['Hurricane', 'Katrina', 'Hurricanes']",0,SjoevHu-gN0
41,Kanye West Hurricane Katrina Funding,486996,Ninjaken,173,1800,69,"['Kanye', 'West', 'KanyeWest', 'Mike', 'Myers', 'Katrina', 'Hurricane', 'Bush', 'GeorgeBush', 'BlackPeople', 'Black']",0,JlJAL3s8AfA
468,"Hurricane HUGO - Luquillo, Puerto Rico - September 18, 1989",456074,Tropmet | Storm Chasing,327,757,53,"['Hurricane', 'Hugo', 'Severe', 'Weather', 'Storms', 'Tropical', 'Cyclone', 'Typhoon', 'Puerto', 'Rico', 'Hurricanes', '1989', 'Extreme', 'Wind', 'Disaster', 'Luquillo', 'San', 'Juan', 'Huracan', 'Eyewall', 'Eye', 'Violent', 'Michael', 'Laca', 'Chase', 'Chaser', 'Chasing', 'Catastrophe', 'Historic', 'Virgin', 'Islands', 'Vieques', 'Culebra', 'Caribbean', 'Sea', 'South', 'Carolina', 'Jim', 'Leonard', 'Andy', 'Dressler']",0,9Lhj2QUFIyQ
3,"Hurricane Katrina New Orleans, 08/29/2005 Pre Dawn Video.",425216,StormChasingVideo,329,448,74,"['Hurricane', 'Katrina', 'New', 'Orleans', 'LA', 'Louisiana', '08/29/2005', 'levee', 'flood', 'video', 'storm', 'canal', 'street', 'French', 'Quarter', 'footage']",0,UVsp_ufeHUA
170,Hurricane Katrina Winds Blowing People Around,417267,Extreme Nature,253,329,40,"['Hurricane', 'Katrina', 'DVD', 'Video', 'Miami', 'Beach', 'Peope', 'Extreme', 'Wind', 'Storm', 'Surge']",0,FxgNuD5M9js
79,Hurricane Katrina: Live video of the storm.,402862,mcraven333,197,474,42,"['Hurricane', 'Katrina', 'live', 'video', 'Mississippi', 'Gulf', 'Coast', 'Biloxi', 'Beau', 'Rivage', 'Casino']",0,gfpwYhJXXT8
76,Hurricane Katrina: New Orleans live video.,374148,mcraven333,94,244,32,"['Hurricane', 'Katrina', 'New', 'Orleans', 'live', 'video']",0,5iHUM6D0fnM
7,Vaccarella Family - Hurricane Katrina,372874,Westley Annis,56,498,31,"['Hurricane', 'Katrina', 'Meraux', 'St.', 'Bernard', 'Parish']",0,oZi1Mk2Njtg
59,Hurricane Katrina: The Drive: New Orleans Lower 9th Ward,354264,TRyanNOVAC,180,784,63,"['Hurricane', 'Katrina:', 'NOVACDOC', 'Orleans', 'Drive', 'NOVAC', 'Lower', '9th', 'Ward', 'documentary', 'Gustov', 'Obama', 'McCain']",0,ubbjgLDKGyk
27,Anderson Cooper biatching out Mary Landrieu over Katrina,325669,Jason Harris,491,1437,48,"['mary', 'landrieu', 'anderson', 'cooper', 'katrina', 'hurricane', 'new', 'orleans', 'category', 'cat', 'tropical', 'storm', 'depression', 'fema', 'us', 'government']",0,KsuRCXiYGO4
464,Mr. Bill's Hurricane,265212,Walter Williams,54,376,24,"['Mr.', 'Bill', 'SNL', 'Saturday', 'Night', 'Live', 'Katrina', 'New', 'Orleans']",0,6UjVBQChwxM
10,Hurricane Katrina Door to Door Firearms Confiscation,242162,pacificcoast,813,662,103,"['gun', 'seizure', 'firearm', 'confiscation', 'NOLA', 'New', 'Orleans', 'Katrina', 'Hurricane']",0,kf8trl69kzo
35,Surfer rides huge wave in hurricane,213051,videosexystar,106,109,43,"['hurricane', 'katrina', 'surf', 'surfer', 'surfing', 'wave', 'funny', 'crazy', 'scarey']",0,vD0iTFl3MkM
254,Hurricane Katrina - Hurricane Song,203207,obysrayl12,0,0,0,"['Hurricane', 'Katrina', 'Hebrew', 'Israelites']",0,4C3wsTTatRY
459,Comic Relief 2006 - Ray Romano,170933,Chris Everest,64,390,43,"['Live', 'Television']",0,u7od8pR0RvI
53,Guerra Family Video After Hurricane Katrina,167277,Westley Annis,33,301,14,"['St.', 'Bernard', 'Parish', 'Government', 'Hurricane', 'Katrina', 'Hunnicut', 'Video', 'askwestley']",0,DQkksAVBezc
44,Desperation at the Convention Center,163346,AndyMarquisLIVE,0,484,59,"['Hurricane', 'Katrina', 'News', 'Video', 'Politics', 'Outrage', '2005', 'Breaking']",0,3zXZ-R0mcN0
432,TMac/Arenas half-court dual,161089,J Cortado,38,138,11,"['tracy', 'mcgrady', 'tmac', 't-mac', 'gilbert', 'arenas']",0,Or1unYKgweQ
