,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
26,Weekend Update on Hurricane Maria - SNL,2797995,Saturday Night Live,2791,24210,2013,"['SNL', 'Saturday Night Live', 'hurricane', 'puerto rico', 'hurricane maria', 'German Chancellor', 'Angela Merkel', 'Kate McKinnon', 'Colin Jost', 'Michael Che', 'season 43', 's43', 's43e1', 'episode 1', 'live', 'new york', 'comedy', 'sketch', 'funny', 'hilarious', 'late night', 'host', 'music', 'guest', 'laugh', 'impersonation', 'la la land', 'the notebook', 'eva mendes', 'blade runner', 'jay z', 'beyonce', 'season premiere', 'rocafella records', '4:44', 'actor', 'improv', 'rapper', 'musician', 'lorne michaels']",0,X3ZCsFYE4Q8
562,Scary Godmother - Nostalgia Critic,1124218,Channel Awesome,9524,36886,590,"['channel awesome', 'nostalgia critic', 'doug walker', 'movie', 'movies', 'film', 'halloween', 'nostalgiaween', 'movie review', 'film review', 'scary godmother', 'scary godmother review', 'halloween movie', 'halloween movie review', 'animation', 'animation review', 'jill thompson', 'scary godmother halloween spooktakular', 'cartoon network']",0,GVWR5d5rMek
32,The Check In: Puerto Rico's Hurricane Maria Recovery,896065,Late Night with Seth Meyers,956,13482,268,"['late night', 'seth meyers', 'the check in', 'puerto rico', 'hurricane maria', 'recovery', 'NBC', 'NBC TV', 'television', 'funny', 'talk show', 'comedy', 'humor', 'stand-up', 'parody', 'snl seth meyers', 'host', 'promo', 'seth', 'meyers', 'weekend update', 'news satire', 'satire', 'Trump', 'FEMA', 'White House', 'electricity', 'outbreak', 'monkey', 'virus', 'Ben Carson', 'WhiteFish']",0,EfWGEgVuxck
224,10 Alive Alien Ocean Life Forms Exposed By Hurricanes Maria & Irma. Never Before Seen Creatures.,611297,Igor Kryan,843,2955,1075,"['Hurricane Maria', 'Hurricane Maria update', 'Sea Alien', 'Ocean floor exposed', 'Alien creature', 'Ocean Alien', 'UFO USO', 'Ocean UFO', 'Sea UFO', 'Alien life form', 'deepest place on earth', 'deepest place in the ocean', 'deepest palce in the sea', 'hurricane alien', 'hurricane ufo', 'hurricane', 'sea floor aliens', 'ocean floor aliens', 'extraterrestrial', 'NOAA', 'unknown life form', 'alien species', 'rarest animal ever', 'ocean', 'alien', 'weirdest creature ever', 'strangest animal ever', 'Never Before Seen', 'hurricane Irma']",0,bYNA5bxXrMY
187,Puerto Rico's cop telling the truth about Hurricane Maria's aid,505415,Jennifer Puentes,1576,4433,251,"['Puerto Rico', 'Hurricane Maria', 'Carmen Yulin', 'Ricardo Rosello', 'La Mega']",0,5Uc1pPsKt_s
458,"Mocking the REVELATION 12 SIGN | Hurricanes MARIA & Jose CONFIRM Sep 23, 2017",489248,Steve Cioccolanti & Discover Ministries,3670,9694,613,"['Jesus Christ', 'Steve Cioccolanti', 'End Times Signs', 'Prophecy', 'Last Days', 'Book of Revelation', 'Revelation 12', 'Skeptics', 'Intellectuals', 'Spirituals', 'Truth', 'Sep 23', 'September 23', '2017', '2018', 'Mockers', 'Scoffers', 'Bible', 'Pharisees', 'Who are the Pharisees?', ""Why don't Jews believe in Jesus?"", 'Days of Noah', 'Predictions', 'End of the World', 'Second Coming', 'Watch and pray', 'Rapture', 'Sinkholes', 'Love']",0,Ki-sKAdXM5A
0,"Hurricane  MARIA Devastates Humacao, Puerto Rico (2017)",463248,iCyclone,801,3668,171,"['hurricane', 'Hurricane Maria', 'Maria', 'Puerto Rico', 'San Juan', 'Humacao', 'Palmas Del Mar', 'iCyclone', 'weather', 'storm', 'storm chaser', 'storm chasing', 'hurricane chaser', 'hurricane chase', 'hurrricane chasing', 'Morgerman', 'Josh Morgerman', 'tropical cyclone', 'cyclone', 'disaster', 'huracán', 'Huracán María', 'María', 'Yabucoa']",0,Ae96xf293Dc
18,"PUERTO RICO HURRICANE MARIA SCARY FOOTAGE, DAMAGE, CAUGHT ON CAMERA SEPTEMBER 2017",427408,PHP,371,1330,165,"['Puerto Rico', 'Caribbean', 'Wind', 'Storm', 'Mexico', 'Earthquake', 'Hurricane irma', 'Hurricane maria', 'Maria', 'Footage', 'Damage', 'Devastation', 'Island', 'Flood', 'Caught on camera', 'Tracking', 'Dominica', 'San juan', 'San juan Puerto Rico', 'Bahamas', 'Catastrophe', 'Hit', 'Roof', 'Flying', 'Scary', 'Insane', 'storm surge', 'Ocean', 'Waves', 'Tide', 'Ricegum', 'Logan paul', 'Jake paul', 'Compilation', 'Graphic', 'Raw', 'atlantic', 'deadly', 'september 20 2017', 'sept 20']",0,iKh7hLMgo04
48,Hurricane Maria & Jose,399368,NEWS & CONSPIRACY,360,1162,317,['__UNKNOWN__'],0,FX-7g-Tp_4o
50,Hurricane Maria & Jose,399368,NEWS & CONSPIRACY,360,1162,317,['__UNKNOWN__'],0,FX-7g-Tp_4o
