,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
502,Robbie Williams - Candy,77990399,robbiewilliamsvevo,32173,410281,15362,"['Robbie', 'Williams', 'Candy', 'Universal', 'Music', 'Pop', 'Williams\nIsland', 'Records\nUniversal', 'Music\nTake', 'The', 'Crown\nTake', 'That\nGary', 'Barlow\nAngels\nRock', 'DJ']",0,gtOV7bp-gys
531,Rachel Crow - Mean Girls,19847832,RachelCrowMusicVEVO,40586,317426,5663,"['Rachel Crow Mean Girls', 'official', 'hq', 'Rachel Crow Mean Girls live', 'cover', 'karaoke', 'download', 'rachel crow if i were a boy', 'music', 'playlist', 'rachel crow x factor', 'Rachel Crow', 'audio', 'Rachel Crow Mean Girls Lyrics', 'lyrics', 'Rachel Crow Mean Girls Official', 'music video', 'live', 'vevo', 'Sony', 'Rachel crow live', 'rachel crow audition', 'Rachel Crow official', 'album', 'rachel crow new', 'acoustic', 'Rachel Crow Mean Girls Video', 'official video', 'Pop', 'single', 'rachel']",0,nTIBDuTxzUw
155,Sandy_ConEd Explosion - Hurricane Sandy,8257073,TrillianMedia,0,5864,1526,"['Sandy', 'ConEd', 'Explosion', '\\Hurricane Sandy\\']",0,ZAqYZ433TeQ
208,SandyTL Time-Lapse of Sandy Hitting NYC,5860386,SMvideoChan,1847,6993,1327,"['Sandy', 'Hurricane', 'NYC', 'Storm', 'Time lapse', 'Time-Lapse']",0,PyohW9rYEKc
491,Coco & Hurricane Sandy,2726852,cocosworld,1509,3244,1097,"['Coco', 'cocosworld', 'hurricane sandy', 'boobs', 'twitter', 'weather']",0,g_iYTwPdkeY
186,"Hurricane Sandy's Intensity Fluctuates, Threatens East Coast States",2319209,ABC News,2382,1427,345,"['hurricane sandy nyc', 'hurricane sandy downgrade', 'tropical storm sandy', 'hurricane sandy north carolina', 'hurricane sandy east coast', 'hurricane sandy jamaica', 'hurricane sandy video', 'hurricane sandy youtube', 'hurricane sandy florida', 'hurricane sandy cuba', 'inter']",0,tETbvybF7Jg
11,Hurricane Sandy: Super Storm Slams East Coast States,2058121,ABC News,2356,2482,436,"['hurricane sandy nyc', 'hurricane sandy downgrade', 'tropical storm sandy', 'hurricane sandy north Carolina', 'hurricane sandy east coast', 'hurricane sandy Jamaica', 'hurricane sandy video', 'hurricane sandy youtube', 'hurricane sandy Florida', 'hurricane sandy Cuba', 'hurricane sandy live stream', 'state of emergency', 'New York', 'Delaware', 'New Jersey', 'Center of the storm', 'Virginia', 'Pennsylvania', 'North Carolina', 'evacuation warnings', 'building collapses', 'hurricane damage video', 'rescue efforts', 'emergency workers']",0,YeutC1WN6dc
506,Jake Owen - Ghost Town,1568221,jakeowenVEVO,278,7238,197,"['RCA Records Label Nashville', 'Ghost Town', 'Jake Owen', 'Country']",0,sCHorn1GSLY
455,Rescue of HMS Bounty during Hurricane Sandy,1362222,U.S. Coast Guard,584,2513,166,"['hurricane', 'sandy', 'rescue', 'bounty', 'hms', 'tallship', 'search and rescue', 'coast guard', 'uscg', 'U.S. Coast Guard', 'frankenstorm', 'sink', 'sinking', 'sail', 'sailing', 'Mutiny on the Bounty', 'storm', 'storms', 'hurricanes', 'massive', 'North', 'Carolina', 'aviation', 'pilot', 'pilots', 'rescue swimmer', 'rescue swimmers', 'aircrew', 'air', 'crew', 'helicopter', 'helicopters', 'Ocean']",0,UDlc1slA8PA
447,Rescue of HMS Bounty during Hurricane Sandy,1362222,U.S. Coast Guard,584,2513,166,"['hurricane', 'sandy', 'rescue', 'bounty', 'hms', 'tallship', 'search and rescue', 'coast guard', 'uscg', 'U.S. Coast Guard', 'frankenstorm', 'sink', 'sinking', 'sail', 'sailing', 'Mutiny on the Bounty', 'storm', 'storms', 'hurricanes', 'massive', 'North', 'Carolina', 'aviation', 'pilot', 'pilots', 'rescue swimmer', 'rescue swimmers', 'aircrew', 'air', 'crew', 'helicopter', 'helicopters', 'Ocean']",0,UDlc1slA8PA
241,Aerial View of New Jersey Coast Line After Hurricane Sandy from the National Guard,1324133,NationalGuard,697,629,274,"['national guard', 'national', 'guard', 'army', 'air', 'military', 'troops', 'soldier', 'airman', 'airmen', 'soldiers', 'u.s.']",0,sRAdgh9VH0o
498,“Journey Through Memory Lane” (P1)  – Inanimate Insanity [Ep. 17],1299357,AnimationEpic,1473,3954,238,"['Inanimate', 'Insanity', 'episode', '17', 'journey', 'through', 'memory', 'lane', 'seventeen', 'finale', 'final', 'BFDI', 'battle', 'for', 'dream', 'island', 'Total', 'drama', 'action', 'world', 'tour', 'revenge', 'of', 'the', 'tda', 'tdroti', 'tdwt', 'all', 'challenges', 'combined', 'mephone4', 'mephone4s', 'mephone?', 'iphone', 'apple']",0,vFHoGWZPa3U
25,Late Night with Jimmy Fallon Hurricane Sandy Cold Open + Monologue (Late Night with Jimmy Fallon),1284629,The Tonight Show Starring Jimmy Fallon,725,7485,176,"['jimmy fallon', 'late night with jimmy fallon', 'mitt romney', ""mitt romney's neighborhood"", 'nbc', 'jimmy', 'fallon', 'late', 'night', 'funny', 'talk', 'show', 'nbc show', 'comedic', 'humor', 'stand-up', 'snl', 'fallon stand-up', 'Fallon monologue', 'entertainment', 'jokes', 'funny video', 'stand up', 'interview', 'variety', 'latenight', 'comedy sketches', 'A list talent', 'talk show', 'host', 'musical performances', 'music', 'Comedy (TV Genre)', 'hurricane sandy', 'nyc', 'streets', 'empty', 'audience']",0,y-oQrDhqhTI
33,HURRICANE SANDY 3 TREES FALL AND FIRE!!,1152592,imasharky,1739,3079,258,"['Hurricane', 'Sandy', 'Trees', 'Fall', 'Imasharky']",0,OZlZUsqkVx8
276,"Hurricane Sandy: Super storm's Path Up East Coast Threatens New York, New Jersey, Pennsylvania",977352,ABC News,1421,657,142,"['hurricane sandy', 'sandy', 'east coast', 'weather', 'storm', 'election 2012', 'vote 2012', 'barack obama', 'mit romney', 'this week', 'george stephanopoulos', 'hurricane sandy nyc', 'hurricane sandy downgrade', 'tropical storm sandy', 'hurricane sandy north carolina', 'hurricane sandy east coast', 'hurricane sandy jamaica', 'hurricane sandy video', 'hurricane sandy youtube', 'hurricane sandy florida', 'hurricane sandy cuba', 'hurricane sandy live stream']",0,QZFlxuU1FRY
16,"Hurricane Sandy to be Direct Hit on New Jersey, New York - Superstorm Frankenstorm Oct 25 11:00am",944122,rob4354343,1819,709,226,"['Frankenstorm', 'superstorm', 'storm', 'hurricane', 'sandy', 'tropical', 'perfect', 'Washington', 'DC', 'Boston', 'Baltimore', 'Philadelphia', 'Manhattan (US County)', 'October', 'surprise', 'Janice', 'Dean', 'path', 'hits', 'strikes', 'track', 'surge', 'franken', 'New Jersey (US State)', 'Delaware', 'Pennsylvania', 'forecast', 'NOAA', 'accuweather', 'Jamaica', 'Maryland', 'Virginia', 'West', 'Noreaster', 'damage', 'destruction', 'flood', 'breezy point', 'Atlantic City', 'Perfect Storm', 'Super Storm', 'Janice Dean', 'Fox News', 'October 29', 'New York', 'Rockaway Beach', 'HAARP', 'Staten Island', 'Hoboken']",0,nbn8NqDIz3Y
37,"Hurricane Sandy Menaces East Coast: Americans on Alert for Rain, Snow, Wind",876287,ABC News,1025,728,133,"['Sam Champion', 'Ginger Zee', 'Linsey Davis', 'hurricane sandy', 'super storm', 'frankenstorm', 'east coast on alert', 'hurricane path', 'extreme weather', 'World News', 'us', 'NOAA', 'snow', 'rain', 'winds', 'hurricane', 'East coast', 'New York City', 'DC', 'New England']",0,WS8kD5H8yHU
17,Hurricane Sandy | Timelapse of the Storm from The New York Times Building | The New York Times,825669,The New York Times,451,2116,178,"['Hurricane Sandy', 'Hurricane Sandy aftermath', 'timelapse', 'Hurricane Sandy timelapse', 'Sandy hits New York', 'Hurricane Sandy flooding', 'Hurricane sandy footage', 'Hurricane sandy destruction', 'hurricane', '2012 hurricane', 'northeast hurricane', 'hurricane NYC', 'The New york times', 'Hurricane Sandy Timelapse', 'The New York Times', 'NY Times', 'NYT', 'Times Video', 'nytimes.com', 'news', 'newspaper', 'feature', 'reporting', 'New York', 'New Jersey', 'NY', 'NJ', 'building', 'Sandy', 'Manhattan', 'The New York Times Building']",0,abp829E3YXw
511,Christina Aguilera - Army of Me (The Lotus Album Preview),777756,CAguileraVEVO,1156,5704,251,"['Christina Aguilera', 'Lotus', 'Army of Me', 'The Voice']",0,Ug1gKxLTyAw
173,Hurricane Sandy Knocked our Tree Down (WK 94.6),735292,Bratayley,1948,3656,168,"['bratayley', 'hurricane', 'sandy', 'tree', 'damage', 'fall', 'falling', 'family', 'reality', 'vlog', 'kid', 'vloggers', 'kids', 'funny', 'fun', 'silly', 'crazy', 'child', 'children', 'parents', 'parenting']",0,JP-g77d0VmI
104,Hurricane Sandy: A Once-in-a-Generation Storm,720960,ABC News,775,482,86,"['hurricane sandy', 'perfect storm', 'hurricane sandy path', 'hurricane sandy update', 'hurricane sandy tracker', 'hurricane sandy 2012', 'hurricane sandy 2006', 'perfect storm movie', 'perfect storm 2012', 'frankenstorm', 'frankenstorm 2012', 'hurricane sandy obama', 'hurricane sandy mitt romney']",0,uXMNS8MDr5I
293,"Dawn to Dusk: Hurricane Sandy, October 28, 2012, Super Rapid Scan",712885,NASAEarthObservatory,215,783,75,"['Hurricane Sandy', 'NASA', 'NOAA', 'GOES']",0,jgrllVs2DDw
94,HAARP Engineering 'FRANKENSTORM' Hurricane Sandy - CAUGHT on SATELLITE and RADAR!!!,686112,RevMichelleHopkinsMann,2623,3210,958,"['frankenstorm', 'hurricane sandy', 'HAARP', ""HAARP's"", 'Hurricane', 'Sandy', 'Fast', 'Furious', 'How', ""They're"", 'Creating', 'Hurricane Sandy', 'Earthquakes', 'New Madrid Fault', 'Fault', 'Central US', 'Earthquake', 'Central US Region', 'False Flag', 'Alex Jones', 'illuminati', 'itanimulli', 'ptb', 'banksters', 'martial law', 'marshall law', 'Alex Jones (radio Host)', 'Engineering', 'FRANKENSTORM', 'CAUGHT', 'on', 'SATELLITE', 'and', 'RADAR']",0,o4P7Kr17RX8
131,Atlantic City Broskis Photobomb CNN Hurricane Sandy Coverage,664310,Mahmoud Abdul-Rauf,246,756,47,"['Atlantic', 'City', 'Broskis', 'Photobomb', 'CNN', 'Hurricane', 'Sandy', 'Coverage']",0,bKDNWVyDSvs
32,Hurricane Sandy Aftermath Video: New York at a Stand Still,637426,ABC News,1089,1017,171,"['hurricane sandy nyc', 'hurricane sandy downgrade', 'tropical storm sandy', 'hurricane sandy north Carolina', 'hurricane sandy east coast', 'hurricane sandy Jamaica', 'hurricane sandy video', 'hurricane sandy youtube', 'hurricane sandy Florida', 'hurricane sandy Cuba', 'hurricane sandy live stream', 'state of emergency', 'New York', 'Delaware', 'New Jersey', 'Center of the storm', 'Virginia', 'Pennsylvania', 'North Carolina', 'evacuation warnings', 'building collapses', 'hurricane damage video', 'rescue efforts', 'emergency workers']",0,FKR_2T__cB4
561,Christina Aguilera - Introduction (The Lotus Album Preview),617323,CAguileraVEVO,524,4581,204,"['Christina Aguilera', 'Lotus', 'Introduction']",0,KH7apMFvpNQ
466,big storm in New York City,611785,CaseyNeistat,515,9221,142,"['neistat brothers', 'storm']",0,eyujMkiG9Y0
214,Hurricane Sandy: When Storms Collide,563249,ABC News,370,319,64,"['Ginger Zee', 'Sam Champion', 'Diane Sawyer', 'hurricane Sandy', 'hurricane Sandy path', 'hurricane Sandy superstorm', 'extreme weather', 'hurricane Sandy track', 'Halloween weather', 'hurricane Sandy information', 'World News', 'us']",0,bFgSClgfMk0
127,"Hurricane Sandy Aftermath Video: Inside the Chaos of Breezy Point, N.Y.",544596,ABC News,571,531,93,"['hurricane sandy nyc', 'hurricane sandy downgrade', 'tropical storm sandy', 'hurricane sandy north Carolina', 'hurricane sandy east coast', 'hurricane sandy Jamaica', 'hurricane sandy video', 'hurricane sandy youtube', 'hurricane sandy Florida', 'hurricane sandy Cuba', 'hurricane sandy live stream', 'state of emergency', 'New York', 'Delaware', 'New Jersey', 'Center of the storm', 'Virginia', 'Pennsylvania', 'North Carolina', 'evacuation warnings', 'building collapses', 'hurricane damage video', 'rescue efforts', 'emergency workers']",0,RbMX2A545Wo
