,Year,Total,Alaska,Alabama,Arkansas,American Samoa,Arizona,California,Commonwealth of the Northern Mariana Islands,Colorado,Connecticut,District of Columbia (DC),Delaware,Eastern Band of Cherokee Indians,Florida,Federated States of Micronesia,Georgia,Guam,Hawaii,Hoopa Valley Tribe,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Karuk Tribe,Louisiana,Massachusetts,Maryland,Maine,Republic of the Marshall Islands,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Oglala Sioux Tribe of the Pine Ridge Reservation,Pennsylvania,Puerto Rico,Palau,Pueblo of Acoma,Rhode Island,Resighini Rancheria,South Carolina,South Dakota,Santa Clara Pueblo,Seminole Tribe of Florida,Soboba Band of Luiseño Indians,Standing Rock Sioux Tribe,Tennessee,Navajo Nation,Texas,Utah,Virginia,Virgin Islands,Vermont,Washington,Wisconsin,West Virginia,Wyoming
Katrina,2005,23674165478.14,0,247417679.2,0,0,0,0,0,0,0,0,0,0,189945393.43,0,0,0,0,0,0,0,0,0,0,0,0,18730749700.11,0,0,0,0,0,0,0,4506052705.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey,2017,2251864919.8399997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970974.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250893945.1,0,0,0,0,0,0,0,0
Maria,2017,3890758198.2799997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3125700432.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765057765.53,0,0,0,0,0
Sandy,2012,17574995438.57,0,0,0,0,0,0,0,0,79858111.21000001,3119810.75,6618971.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9514114.07,34505572.42,0,0,0,0,0,0,0,0,0,0,2113605.92,2407871949.41,0,0,14964425145.07,19551083.88,0,0,0,12666844.02,0,0,0,9080150.43,0,0,0,0,0,0,0,0,0,0,0,10469663.55,0,0,0,0,15200416.79,0
Irma,2017,1194377236.7299998,0,0,0,0,0,0,0,0,0,0,0,0,1060740809.28,0,37500374.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12820754.07,0,0,0,0,2092988.22,0,0,161593.76,0,0,0,0,0,0,0,81222311.1,0,0,0,0,0
Ike,2008,3048524584.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289271481.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2759253102.78,0,0,0,0,0,0,0,0
Wilma,2005,1831665262.2099998,0,0,0,0,0,0,0,0,0,0,0,0,1831665262.2099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rita,2005,2193736278.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206829892.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986906386.32,0,0,0,0,0,0,0,0
Matthew,2016,1040970827.2,0,0,0,0,0,0,0,0,0,0,0,0,287250077.12,0,98303563.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361617326.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268165418.91,0,0,0,0,0,0,0,0,0,25634441.369999997,0,0,0,0,0,0
Irene,2011,1665357193.09,0,0,0,0,0,0,0,0,52574026.760000005,2466820.86,2044833.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35749105.34,19942549.35,1998820.03,0,0,0,0,0,0,125993680.66,0,0,19417814.95,296363897.21000004,0,0,651241784.35,0,0,0,0,67372911.47999999,90559593.85,0,0,8349014.01,0,0,0,0,0,0,0,0,0,0,0,57743159.79,0,233539180.5,0,0,0,0
Gustav,2008,975008221.99,0,7955261.42,3892240.53,0,0,0,0,0,0,0,0,0,1558746.17,0,0,0,0,0,0,0,0,0,0,0,0,929575034.65,0,0,0,0,0,0,0,32026939.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stan,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis,2005,247896561.88,0,24912859.240000002,0,0,0,0,0,0,0,0,0,0,221276139.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707563.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac,2012,561432380.27,0,6678561.12,0,0,0,0,0,0,0,0,0,0,21449852.53,0,0,0,0,0,0,0,0,0,0,0,0,474394142.91999996,0,0,0,0,0,0,0,58909823.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolly,2008,103327587.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103327587.2,0,0,0,0,0,0,0,0
Alex,2010,30113113.169999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30113113.169999998,0,0,0,0,0,0,0,0
Ingrid,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emily,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
